PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1629630,22-23,55,32.1,0.341,102.22,3757,20.3,20.8,10.7,5.9,2.33,4.05,7.3, 3.2,77.9,26.5,5.9,5.13,0.5,0.1,1.5,Mild
1629630,22-23,55,32.1,0.341,102.22,3757,20.3,20.8,10.7,5.9,2.33,4.05,7.3, 3.2,77.9,26.5,5.9,5.13,0.5,0.1,1.5,Mild
2544,22-23,47,36.1,0.323,102.94,3642,22.6,9.9,4.6,3.5,2.38,3.72,6.4, 2.8,79.6,37.8,4.36,3.27,3.0,3.9,3.8,Mild
1629029,22-23,59,36.4,0.372,97.57,4371,22.2,20.3,8.9,7.7,2.38,3.66,11.8, 6.9,90.7,34.2,6.21,5.39,0.7,4.7,1.1,Mild
201939,22-23,49,34.8,0.296,104.93,3740,20.0,9.0,4.5,3.3,2.63,4.21,8.8, 6.0,79.4,31.0,4.42,4.2,0.8,0.0,1.5,Grave
1628380,22-23,59,22.5,0.205,103.74,2863,8.3,1.0,0.7,0.2,1.64,4.05,0.3, 0.1,37.5,25.7,1.81,0.63,4.1,2.9,5.1,Moderate
1628998,21-22,71,26.3,0.12,100.54,3895,6.0,3.5,1.3,1.6,2.11,4.48,0.8, 0.2,35.1,19.7,2.43,1.59,0.6,0.1,1.7,Grave
1630217,21-22,76,29.8,0.226,100.73,4770,14.5,5.3,3.1,1.7,2.24,4.25,6.0, 3.0,57.7,30.2,2.74,1.75,0.7,0.0,0.9,Mild
1628984,21-22,76,28.4,0.191,98.66,4455,10.7,5.1,1.4,2.8,2.08,4.11,4.6, 2.8,61.0,27.2,4.17,3.47,0.2,0.0,0.3,Mild
1628373,21-22,58,11.8,0.165,99.2,1416,3.8,2.1,0.9,1.0,0.87,4.12,1.1, 0.4,20.1,11.3,3.15,2.38,0.1,0.0,0.2,Moderate
203507,21-22,67,32.9,0.34,103.12,4743,18.6,11.7,4.5,3.9,2.33,3.97,6.6, 2.7,73.8,34.7,3.68,2.55,4.0,4.6,6.7,Mild
1629630,21-22,57,33.1,0.33,101.46,4003,20.6,20.9,11.3,5.9,2.41,4.13,6.3, 2.4,77.8,29.8,5.82,4.9,0.8,0.1,1.9,Mild
1630256,21-22,78,26.4,0.194,101.95,4361,9.3,5.2,2.5,1.9,1.95,4.16,0.3, 0.3,41.6,22.9,2.62,1.63,1.5,1.0,3.8,Mild
1629667,21-22,55,16.3,0.152,100.96,1882,4.6,3.1,1.1,1.2,1.29,4.44,0.3, 0.1,24.8,12.5,1.94,1.13,0.5,0.0,1.2,Mild
203087,21-22,56,16.7,0.189,100.62,1965,6.2,4.1,2.0,1.4,1.23,4.2,2.4, 1.0,29.8,17.4,2.89,1.88,0.1,0.0,0.6,Severe
201950,21-22,67,32.9,0.231,101.18,4666,14.2,13.0,5.3,5.7,2.46,4.22,6.2, 3.3,71.9,24.9,4.98,4.43,0.7,1.8,2.3,Mild
1629308,21-22,73,13.6,0.144,99.03,2045,3.2,2.1,0.7,1.0,1.06,4.34,0.2, 0.2,28.8,15.7,2.34,1.55,0.5,0.3,1.3,Mild
203482,21-22,40,19.1,0.207,101.76,1623,7.2,2.6,0.8,1.3,1.4,4.08,1.5, 0.9,43.2,26.6,2.04,0.89,1.6,1.4,3.6,Mild
1629029,21-22,65,35.4,0.368,96.18,4604,21.6,22.2,8.2,9.6,2.38,3.78,12.9, 7.6,90.5,34.8,6.19,5.37,0.5,3.7,1.0,Mild
1628379,21-22,70,27.4,0.16,98.54,3963,9.1,2.6,1.2,1.1,1.99,4.06,3.1, 1.3,35.3,24.8,2.08,1.14,0.5,0.0,0.4,Mild
201587,21-22,59,24.8,0.13,99.74,3041,6.6,0.6,0.3,0.3,1.83,4.15,0.9, 0.4,35.6,21.0,1.45,0.56,0.9,0.1,1.1,Mild
1629683,21-22,11,6.7,0.15,102.33,158,1.9,0.9,0.5,0.4,0.53,4.47,0.3, 0.2,9.0,5.3,2.05,1.12,0.3,0.1,1.1,Mild
1629683,21-22,11,6.7,0.15,102.33,158,1.9,0.9,0.5,0.4,0.53,4.47,0.3, 0.2,9.0,5.3,2.05,1.12,0.3,0.1,1.1,Mild
1630218,21-22,12,3.5,0.158,102.39,90,1.3,0.4,0.3,0.2,0.27,4.16,0.4, 0.1,4.0,2.0,2.16,1.29,0.2,0.0,0.5,Moderate
203552,21-22,64,33.3,0.182,96.94,4311,11.5,4.9,1.9,2.4,2.32,3.98,6.0, 2.1,54.2,37.1,3.28,2.51,0.1,0.0,0.1,Mild
203552,21-22,64,33.3,0.182,96.94,4311,11.5,4.9,1.9,2.4,2.32,3.98,6.0, 2.1,54.2,37.1,3.28,2.51,0.1,0.0,0.1,Moderate
203552,21-22,64,33.3,0.182,96.94,4311,11.5,4.9,1.9,2.4,2.32,3.98,6.0, 2.1,54.2,37.1,3.28,2.51,0.1,0.0,0.1,Moderate
203552,21-22,64,33.3,0.182,96.94,4311,11.5,4.9,1.9,2.4,2.32,3.98,6.0, 2.1,54.2,37.1,3.28,2.51,0.1,0.0,0.1,Severe
203552,21-22,64,33.3,0.182,96.94,4311,11.5,4.9,1.9,2.4,2.32,3.98,6.0, 2.1,54.2,37.1,3.28,2.51,0.1,0.0,0.1,Mild
203500,21-22,76,26.3,0.118,99.57,4150,5.1,0.6,0.3,0.1,1.85,4.01,0.1, 0.0,38.6,23.3,1.86,0.44,5.6,1.4,7.8,Moderate
1629056,21-22,30,17.9,0.244,102.84,1153,8.9,3.9,2.0,1.4,1.38,4.4,2.4, 2.0,25.7,15.0,2.66,2.3,0.2,0.0,0.7,Moderate
1627846,20-21,24,14.8,0.183,102.96,757,4.8,3.5,1.6,1.1,1.14,4.41,0.3, 0.1,16.2,10.9,1.91,1.19,0.0,0.0,0.7,Moderate
202709,20-21,63,23.0,0.159,100.79,3024,6.8,7.5,2.9,3.4,1.77,4.42,1.8, 0.3,41.7,17.6,4.35,4.39,0.5,0.0,0.8,Moderate
202709,20-21,63,23.0,0.159,100.79,3024,6.8,7.5,2.9,3.4,1.77,4.42,1.8, 0.3,41.7,17.6,4.35,4.39,0.5,0.0,0.8,Mild
201568,20-21,51,24.0,0.211,98.8,2526,9.3,2.0,0.8,0.7,1.66,3.87,2.6, 0.8,41.3,25.3,2.28,0.91,0.7,2.9,0.9,Mild
201565,20-21,50,25.6,0.252,98.32,2622,12.2,11.9,5.9,4.7,1.88,4.16,5.0, 0.9,57.4,20.0,5.38,4.87,0.6,0.1,0.8,Mild
203110,20-21,63,31.5,0.128,104.21,4305,6.0,3.7,1.3,1.8,2.1,3.77,0.6, 0.1,74.2,37.2,2.46,1.64,2.0,2.4,1.8,Moderate
1630193,20-21,64,19.4,0.246,97.18,2519,9.1,6.0,3.1,2.0,1.5,4.35,5.2, 2.8,36.6,17.0,4.84,4.33,0.1,0.0,0.4,Mild
1628989,20-21,69,30.8,0.167,99.5,4406,10.6,5.2,2.8,1.9,2.3,4.2,3.3, 1.4,44.0,29.6,2.81,2.05,0.5,0.0,1.0,Moderate
203114,20-21,68,33.4,0.245,103.55,4887,15.8,7.9,3.4,3.3,2.5,4.23,7.9, 2.6,63.3,32.2,3.7,2.86,0.8,1.9,1.7,Moderate
2544,20-21,45,33.4,0.31,100.41,3145,18.3,9.5,4.1,3.4,2.13,3.58,6.8, 3.4,86.9,38.3,4.43,3.4,1.9,3.9,2.2,Severe
200782,20-21,52,26.1,0.072,101.99,2871,3.4,0.6,0.2,0.3,1.85,4.08,0.1, 0.0,24.2,12.2,1.37,0.49,0.6,0.1,1.1,Mild
203552,20-21,57,28.7,0.169,100.4,3444,9.7,4.4,2.0,1.8,2.07,4.08,4.4, 1.7,41.6,28.9,3.02,2.32,0.2,0.0,0.2,Mild
1627752,20-21,41,22.1,0.189,101.72,1913,8.0,4.4,2.1,1.6,1.58,4.01,2.4, 1.1,31.4,19.9,2.37,1.31,0.3,0.1,0.8,Mild
1627752,20-21,41,22.1,0.189,101.72,1913,8.0,4.4,2.1,1.6,1.58,4.01,2.4, 1.1,31.4,19.9,2.37,1.31,0.3,0.1,0.8,Severe
201568,19-20,62,29.6,0.242,99.2,3796,13.2,3.8,1.8,1.0,2.07,3.9,3.6, 1.4,52.1,34.7,2.37,1.1,0.9,3.2,1.5,Mild
201568,19-20,62,29.6,0.242,99.2,3796,13.2,3.8,1.8,1.0,2.07,3.9,3.6, 1.4,52.1,34.7,2.37,1.1,0.9,3.2,1.5,Severe
201599,19-20,56,22.0,0.136,102.91,2650,5.1,0.1,0.1,0.0,1.41,3.62,0.0, None,34.9,20.6,1.53,0.24,3.0,0.3,6.9,Moderate
1629028,19-20,38,32.5,0.231,101.95,2623,14.9,0.5,0.3,0.0,2.31,3.98,0.8, 0.0,60.3,35.7,1.66,0.37,5.9,6.2,13.9,Severe
1628984,19-20,63,35.1,0.243,97.32,4491,15.3,10.6,3.8,4.8,2.57,4.11,8.3, 5.8,90.6,35.2,5.4,4.97,0.3,0.0,0.5,Mild
201609,19-20,59,28.2,0.248,100.66,3507,12.3,10.8,3.7,5.7,2.1,4.14,4.6, 2.2,64.9,26.2,5.01,4.54,0.6,0.3,1.2,Moderate
1628960,19-20,38,18.9,0.171,105.52,1579,6.6,4.3,1.9,1.5,1.48,4.34,1.6, 0.7,25.1,17.1,2.46,1.57,0.2,0.0,0.2,Grave
203109,19-20,65,28.8,0.152,103.18,4024,8.7,1.3,0.5,0.5,2.1,4.1,2.1, 1.6,47.9,26.3,1.8,0.93,0.5,0.3,1.1,Moderate
203109,19-20,65,28.8,0.152,103.18,4024,8.7,1.3,0.5,0.5,2.1,4.1,2.1, 1.6,47.9,26.3,1.8,0.93,0.5,0.3,1.1,Mild
