PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1630166,22-23,72,26.2,0.16,99.74,3906,7.3,4.5,1.9,1.7,1.95,4.16,0.7, 0.5,43.3,20.8,2.77,2.01,0.7,0.1,1.9,Moderate
1630688,22-23,53,15.3,0.117,101.71,1712,3.8,1.0,0.3,0.5,1.19,4.28,0.3, 0.2,15.8,10.2,1.49,0.69,0.0,0.0,0.7,Grave
1629645,22-23,52,34.0,0.241,99.85,3679,14.8,14.6,5.5,6.8,2.5,4.12,7.1, 4.3,79.3,35.0,5.19,4.77,0.7,0.1,1.7,Mild
1628374,22-23,64,34.4,0.257,101.06,4628,17.2,5.6,2.8,1.5,2.52,4.08,2.2, 0.8,51.3,32.1,2.17,1.08,1.9,1.4,4.4,Mild
1631103,22-23,58,23.1,0.18,103.93,2900,8.6,4.5,2.4,1.5,1.82,4.42,2.8, 0.7,35.2,15.0,3.66,3.25,0.3,0.0,0.4,Mild
1628420,22-23,60,27.6,0.154,99.53,3431,8.3,5.4,2.6,2.3,2.02,4.12,3.5, 1.1,58.4,22.7,5.0,4.59,0.2,0.0,0.3,Severe
1627853,22-23,18,7.2,0.102,105.39,287,1.5,1.2,0.4,0.7,0.57,4.42,0.4, 0.2,16.3,5.6,4.66,4.35,0.1,0.0,0.1,Grave
201143,21-22,69,29.1,0.147,98.03,4096,8.2,1.2,0.5,0.5,2.01,3.95,0.3, 0.1,49.4,29.4,1.73,0.64,2.2,1.9,3.9,Mild
201143,21-22,69,29.1,0.147,98.03,4096,8.2,1.2,0.5,0.5,2.01,3.95,0.3, 0.1,49.4,29.4,1.73,0.64,2.2,1.9,3.9,Mild
1630271,21-22,12,5.0,0.172,107.86,134,1.5,0.8,0.2,0.6,0.36,4.33,0.3, 0.3,7.6,3.3,4.04,3.74,0.2,0.0,0.3,Severe
1627747,21-22,58,30.7,0.252,97.93,3634,14.7,14.9,7.3,5.7,2.26,4.13,6.6, 2.6,62.8,35.2,4.07,3.63,0.7,0.2,1.3,Mild
1627747,21-22,58,30.7,0.252,97.93,3634,14.7,14.9,7.3,5.7,2.26,4.13,6.6, 2.6,62.8,35.2,4.07,3.63,0.7,0.2,1.3,Severe
1626224,21-22,66,22.1,0.206,99.48,3028,8.7,3.5,1.3,1.5,1.64,4.14,1.6, 1.1,35.6,26.0,2.55,1.65,0.6,0.0,0.9,Moderate
1628449,21-22,80,21.1,0.172,97.6,3440,7.2,0.6,0.3,0.1,1.59,4.2,0.5, 0.1,26.4,15.0,1.58,0.48,0.8,0.1,4.7,Mild
1629636,21-22,68,35.7,0.272,97.42,4954,17.3,17.5,6.4,8.5,2.66,4.19,7.8, 3.8,85.6,33.5,5.39,4.96,0.8,0.0,0.9,Moderate
1629636,21-22,68,35.7,0.272,97.42,4954,17.3,17.5,6.4,8.5,2.66,4.19,7.8, 3.8,85.6,33.5,5.39,4.96,0.8,0.0,0.9,Mild
1629636,21-22,68,35.7,0.272,97.42,4954,17.3,17.5,6.4,8.5,2.66,4.19,7.8, 3.8,85.6,33.5,5.39,4.96,0.8,0.0,0.9,Severe
202324,21-22,39,16.7,0.131,99.83,1360,4.7,0.0,0.0,0.0,1.17,4.07,0.1, 0.0,25.1,17.3,1.13,0.16,2.7,0.2,4.2,Moderate
202324,21-22,39,16.7,0.131,99.83,1360,4.7,0.0,0.0,0.0,1.17,4.07,0.1, 0.0,25.1,17.3,1.13,0.16,2.7,0.2,4.2,Mild
202324,21-22,39,16.7,0.131,99.83,1360,4.7,0.0,0.0,0.0,1.17,4.07,0.1, 0.0,25.1,17.3,1.13,0.16,2.7,0.2,4.2,Moderate
1626164,21-22,68,34.5,0.313,101.21,4943,20.9,9.7,5.0,3.1,2.47,4.09,11.8, 3.8,56.2,33.0,4.48,3.65,1.5,0.7,1.6,Mild
1629676,21-22,45,21.1,0.185,102.08,2014,7.2,2.4,1.1,0.7,1.53,4.23,0.5, 0.3,38.2,23.1,1.64,0.68,1.9,0.3,4.2,Mild
1627751,21-22,68,29.0,0.182,100.62,4119,9.8,1.0,0.5,0.3,2.25,4.37,0.4, 0.0,58.0,32.6,1.55,0.41,6.2,2.2,9.8,Mild
1627751,21-22,68,29.0,0.182,100.62,4119,9.8,1.0,0.5,0.3,2.25,4.37,0.4, 0.0,58.0,32.6,1.55,0.41,6.2,2.2,9.8,Mild
1627751,21-22,68,29.0,0.182,100.62,4119,9.8,1.0,0.5,0.3,2.25,4.37,0.4, 0.0,58.0,32.6,1.55,0.41,6.2,2.2,9.8,Mild
1628966,21-22,59,16.2,0.144,102.27,2032,4.5,1.3,0.7,0.3,1.28,4.42,0.3, 0.1,18.5,10.6,1.71,0.7,0.6,0.2,2.3,Severe
1628966,21-22,59,16.2,0.144,102.27,2032,4.5,1.3,0.7,0.3,1.28,4.42,0.3, 0.1,18.5,10.6,1.71,0.7,0.6,0.2,2.3,Moderate
1629640,21-22,75,31.9,0.21,101.51,5043,13.5,8.0,4.6,2.1,2.4,4.24,1.7, 0.5,50.8,27.9,2.16,1.27,0.5,0.4,1.8,Mild
1629011,21-22,72,25.7,0.11,97.08,3739,4.8,0.0,0.0,0.0,1.84,4.05,0.0, None,27.9,14.0,1.34,0.3,0.7,0.2,7.9,Mild
1629011,21-22,72,25.7,0.11,97.08,3739,4.8,0.0,0.0,0.0,1.84,4.05,0.0, None,27.9,14.0,1.34,0.3,0.7,0.2,7.9,Mild
203457,21-22,25,22.5,0.072,98.91,1157,2.4,0.2,0.0,0.1,1.67,4.15,0.2, 0.0,27.4,11.2,1.53,0.42,1.1,0.0,4.0,Mild
201587,21-22,59,24.8,0.13,99.74,3041,6.6,0.6,0.3,0.3,1.83,4.15,0.9, 0.4,35.6,21.0,1.45,0.56,0.9,0.1,1.1,Mild
203083,20-21,46,27.0,0.269,98.31,2540,12.4,2.8,1.9,0.3,1.86,3.89,0.2, 0.0,53.0,30.0,2.15,0.89,4.1,6.4,10.0,Mild
1629002,20-21,36,13.6,0.194,103.51,1063,5.0,1.2,0.6,0.4,1.01,4.18,0.9, 0.1,22.4,12.8,1.79,0.66,1.6,0.9,2.5,Moderate
201568,20-21,51,24.0,0.211,98.8,2526,9.3,2.0,0.8,0.7,1.66,3.87,2.6, 0.8,41.3,25.3,2.28,0.91,0.7,2.9,0.9,Moderate
1627749,20-21,67,31.9,0.231,100.02,4452,14.5,11.9,5.4,5.1,2.43,4.38,6.6, 0.4,69.0,24.0,4.8,4.36,0.3,0.0,1.0,Mild
202324,20-21,68,15.3,0.125,101.18,2182,3.6,0.0,0.0,0.0,1.13,4.21,0.0, 0.0,16.0,11.0,1.33,0.27,1.7,0.1,4.8,Moderate
202330,20-21,44,34.0,0.235,100.83,3142,15.0,11.3,4.5,4.6,2.64,4.39,5.2, 1.4,64.6,41.9,2.78,1.82,1.1,0.8,2.7,Moderate
1627763,20-21,56,34.5,0.257,101.02,4056,17.5,14.5,6.3,6.2,2.59,4.21,7.2, 3.6,86.1,37.0,4.62,4.41,0.5,0.1,1.4,Mild
200765,20-21,45,17.1,0.166,99.08,1591,4.8,5.8,2.1,2.7,1.19,3.88,1.4, 0.9,43.3,16.1,5.09,4.43,0.4,0.0,0.4,Severe
1630218,20-21,13,3.5,0.21,110.0,106,1.5,0.5,0.3,0.2,0.27,4.3,0.5, 0.2,4.6,2.5,2.51,1.57,0.1,0.1,0.3,Grave
200752,20-21,63,21.6,0.23,101.26,2865,10.0,3.4,1.9,0.9,1.54,4.08,3.7, 0.7,36.0,18.2,2.51,1.43,0.5,1.3,1.2,Mild
203458,19-20,55,17.6,0.176,104.7,2119,5.8,0.4,0.3,0.1,1.32,4.16,0.1, 0.0,31.2,17.0,1.52,0.52,2.3,0.8,5.4,Severe
1629629,19-20,58,26.7,0.185,105.58,3398,9.6,5.0,2.6,1.4,2.11,4.38,2.4, 0.8,30.9,18.5,2.82,2.12,0.3,0.0,0.8,Moderate
202324,19-20,51,24.4,0.135,104.39,2703,6.6,0.2,0.1,0.1,1.8,4.19,0.1, 0.0,45.1,24.7,1.34,0.28,3.8,1.0,7.3,Mild
1626143,19-20,30,15.6,0.195,103.21,1004,5.4,1.3,0.7,0.3,1.17,4.21,0.3, 0.0,31.3,19.6,2.03,0.95,2.3,2.9,3.9,Moderate
202710,19-20,58,33.8,0.246,98.25,4032,13.1,15.5,5.3,6.9,2.53,4.2,4.5, 1.3,71.3,36.5,4.51,3.52,1.9,3.1,4.3,Mild
203925,19-20,69,30.8,0.179,102.23,4543,11.4,6.5,3.0,2.8,2.41,4.46,2.2, 1.4,45.8,30.9,1.8,0.99,0.9,0.1,1.3,Mild
203089,19-20,40,15.0,0.16,100.77,1255,4.3,0.2,0.1,0.1,1.06,3.96,0.0, 0.0,23.3,15.8,1.6,0.41,2.0,0.4,4.4,Moderate
1629026,19-20,39,21.3,0.087,103.37,1788,3.8,1.4,0.4,0.8,1.7,4.5,0.3, 0.1,30.0,16.2,1.53,0.84,0.2,0.0,1.6,Grave
200768,19-20,58,36.2,0.225,102.29,4475,13.8,9.6,3.2,4.6,2.47,3.81,5.8, 4.2,83.2,35.6,4.09,3.37,0.4,0.1,0.7,Mild
1627763,19-20,54,30.9,0.249,98.85,3436,13.8,14.2,5.7,6.6,2.23,4.06,6.7, 2.8,77.3,27.1,5.29,5.43,0.5,0.3,1.0,Severe
1626209,19-20,53,16.4,0.135,104.33,1895,4.1,1.7,0.9,0.5,1.22,4.18,1.0, 0.3,27.2,9.6,3.0,1.91,0.2,0.1,0.7,Severe
203497,19-20,68,34.3,0.162,99.37,4827,8.2,0.5,0.3,0.1,2.49,4.07,0.0, None,61.0,33.1,1.49,0.36,4.6,0.7,10.9,Moderate
203506,19-20,19,27.8,0.259,101.47,1120,12.9,8.8,3.8,3.2,2.11,4.28,6.7, 3.3,45.8,26.5,3.81,3.24,0.3,0.0,0.6,Moderate
203932,18-19,78,33.8,0.213,99.28,5456,13.4,6.1,2.7,2.1, 2.56, 4.28,3.4, 1.2,54.5,32.7,2.62,1.76,2.6,2.9,4.3,Mild
1627790,18-19,59,18.3,0.178,99.35,2243,5.6,0.3,0.2,0.1, 1.28, 4.0,0.1, None,22.8,14.9,1.79,0.59,4.1,2.5,6.1,Mild
1628372,18-19,53,28.5,0.242,101.3,3191,12.3,12.0,4.6,5.6, 2.15, 4.24,4.6, 2.0,71.9,28.2,4.66,4.27,0.6,0.2,0.9,Moderate
1628372,18-19,53,28.5,0.242,101.3,3191,12.3,12.0,4.6,5.6, 2.15, 4.24,4.6, 2.0,71.9,28.2,4.66,4.27,0.6,0.2,0.9,Severe
2730,18-19,9,25.5,0.193,102.47,487,7.7,1.2,0.7,0.1, 1.77, 3.9,0.0, None,43.1,19.1,1.61,0.57,2.2,3.3,7.3,Grave
1627832,18-19,64,27.5,0.177,99.87,3663,9.4,8.7,2.5,5.1, 2.14, 4.36,3.3, 1.7,56.1,26.8,4.41,4.2,0.2,0.0,0.5,Mild
200768,18-19,65,34.1,0.191,101.37,4690,11.4,7.8,2.1,4.5, 2.4, 3.95,4.3, 2.6,80.6,33.8,3.82,3.2,0.6,0.1,1.4,Mild
200768,18-19,65,34.1,0.191,101.37,4690,11.4,7.8,2.1,4.5, 2.4, 3.95,4.3, 2.6,80.6,33.8,3.82,3.2,0.6,0.1,1.4,Severe
