PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1627788,22-23,31,9.1,0.178,102.38,597,2.8,1.9,0.9,0.6,0.7,4.26,0.8, 0.4,13.3,9.1,2.78,2.16,0.2,0.0,0.3,Severe
202699,22-23,68,33.2,0.181,96.93,4564,11.6,6.1,2.9,2.5,2.35,3.99,2.0, 0.4,49.4,29.3,2.66,1.73,0.8,2.3,2.0,Mild
203083,21-22,73,19.7,0.181,99.27,2957,5.9,1.0,0.5,0.2,1.35,3.91,0.1, 0.0,29.2,18.8,1.75,0.67,2.1,1.1,6.6,Mild
1627788,21-22,67,21.1,0.17,99.33,2929,7.0,3.7,1.7,1.5,1.61,4.3,2.1, 1.2,31.5,20.0,3.01,2.54,0.1,0.0,0.5,Moderate
203954,21-22,68,33.8,0.375,96.96,4640,19.6,5.3,2.6,0.9,2.22,3.73,7.3, 1.3,76.1,53.4,2.67,1.41,4.8,9.8,5.3,Moderate
203552,21-22,64,33.3,0.182,96.94,4311,11.5,4.9,1.9,2.4,2.32,3.98,6.0, 2.1,54.2,37.1,3.28,2.51,0.1,0.0,0.1,Severe
203552,21-22,64,33.3,0.182,96.94,4311,11.5,4.9,1.9,2.4,2.32,3.98,6.0, 2.1,54.2,37.1,3.28,2.51,0.1,0.0,0.1,Mild
1629003,21-22,55,21.4,0.174,98.24,2412,7.3,6.4,3.3,2.4,1.55,4.08,2.5, 0.7,40.0,19.5,4.16,3.58,0.1,0.0,0.3,Severe
1627732,20-21,58,32.4,0.2,101.44,3973,10.1,10.2,3.6,4.7,2.36,4.12,0.7, 0.1,82.0,27.1,4.24,3.24,2.1,2.8,3.9,Mild
1627732,20-21,58,32.4,0.2,101.44,3973,10.1,10.2,3.6,4.7,2.36,4.12,0.7, 0.1,82.0,27.1,4.24,3.24,2.1,2.8,3.9,Mild
2730,20-21,69,17.3,0.173,101.16,2517,4.4,0.4,0.2,0.1,1.23,3.97,0.0, 0.0,30.3,15.4,1.65,0.58,1.2,0.5,6.0,Mild
1627788,20-21,55,19.3,0.195,101.22,2243,7.7,3.2,1.4,1.2,1.51,4.39,2.3, 1.3,26.6,20.4,2.38,1.76,0.2,0.0,0.3,Moderate
1627788,20-21,55,19.3,0.195,101.22,2243,7.7,3.2,1.4,1.2,1.51,4.39,2.3, 1.3,26.6,20.4,2.38,1.76,0.2,0.0,0.3,Moderate
203954,20-21,51,31.1,0.352,100.79,3331,17.6,3.6,2.1,0.7,2.08,3.79,5.5, 0.6,70.8,49.7,2.5,1.06,4.0,12.3,5.3,Moderate
203954,20-21,51,31.1,0.352,100.79,3331,17.6,3.6,2.1,0.7,2.08,3.79,5.5, 0.6,70.8,49.7,2.5,1.06,4.0,12.3,5.3,Mild
203552,20-21,57,28.7,0.169,100.4,3444,9.7,4.4,2.0,1.8,2.07,4.08,4.4, 1.7,41.6,28.9,3.02,2.32,0.2,0.0,0.2,Mild
203552,20-21,57,28.7,0.169,100.4,3444,9.7,4.4,2.0,1.8,2.07,4.08,4.4, 1.7,41.6,28.9,3.02,2.32,0.2,0.0,0.2,Moderate
1629003,20-21,63,23.2,0.239,101.45,3087,10.6,10.4,4.8,4.0,1.76,4.25,4.2, 1.1,49.5,24.9,4.16,3.77,0.3,0.0,0.5,Severe
202699,20-21,62,32.5,0.237,100.42,4223,14.9,9.4,5.1,3.2,2.34,4.07,5.0, 1.0,64.3,37.2,3.13,2.21,1.1,3.4,2.1,Moderate
202699,20-21,62,32.5,0.237,100.42,4223,14.9,9.4,5.1,3.2,2.34,4.07,5.0, 1.0,64.3,37.2,3.13,2.21,1.1,3.4,2.1,Mild
201143,19-20,67,30.2,0.173,100.63,4241,10.6,1.4,0.6,0.6,2.09,3.95,0.9, 0.2,55.1,35.9,1.81,0.63,5.2,4.3,3.7,Mild
201143,19-20,67,30.2,0.173,100.63,4241,10.6,1.4,0.6,0.6,2.09,3.95,0.9, 0.2,55.1,35.9,1.81,0.63,5.2,4.3,3.7,Mild
201143,19-20,67,30.2,0.173,100.63,4241,10.6,1.4,0.6,0.6,2.09,3.95,0.9, 0.2,55.1,35.9,1.81,0.63,5.2,4.3,3.7,Mild
1627788,19-20,72,21.7,0.177,102.27,3322,7.8,2.2,1.3,0.6,1.69,4.35,2.3, 1.1,25.1,19.1,2.08,1.52,0.6,0.0,0.6,Mild
203954,19-20,51,29.5,0.315,102.07,3201,15.7,2.4,1.0,0.5,2.0,3.77,3.6, 0.4,68.0,42.8,2.24,0.89,5.0,9.8,6.7,Mild
203954,19-20,51,29.5,0.315,102.07,3201,15.7,2.4,1.0,0.5,2.0,3.77,3.6, 0.4,68.0,42.8,2.24,0.89,5.0,9.8,6.7,Mild
203118,19-20,68,17.8,0.132,101.84,2559,5.1,0.5,0.3,0.2,1.34,4.27,0.4, 0.1,26.0,13.5,1.46,0.41,0.7,0.5,1.4,Moderate
1629003,19-20,40,20.1,0.186,100.19,1678,6.9,5.1,2.2,2.1,1.52,4.26,1.8, 0.7,36.5,16.2,4.54,4.08,0.2,0.0,0.6,Severe
1627788,18-19,48,14.2,0.174,104.84,1486,5.1,1.5,0.7,0.6, 1.14, 4.54,1.3, 0.6,18.9,14.9,1.9,1.16,0.4,0.0,0.6,Grave
1627788,18-19,48,14.2,0.174,104.84,1486,5.1,1.5,0.7,0.6, 1.14, 4.54,1.3, 0.6,18.9,14.9,1.9,1.16,0.4,0.0,0.6,Severe
203954,18-19,64,33.7,0.327,103.92,4672,18.7,4.8,2.5,0.8, 2.34, 3.89,4.0, 0.7,87.0,54.9,2.05,0.88,5.7,10.2,7.4,Mild
203954,18-19,64,33.7,0.327,103.92,4672,18.7,4.8,2.5,0.8, 2.34, 3.89,4.0, 0.7,87.0,54.9,2.05,0.88,5.7,10.2,7.4,Moderate
203954,18-19,64,33.7,0.327,103.92,4672,18.7,4.8,2.5,0.8, 2.34, 3.89,4.0, 0.7,87.0,54.9,2.05,0.88,5.7,10.2,7.4,Grave
203954,18-19,64,33.7,0.327,103.92,4672,18.7,4.8,2.5,0.8, 2.34, 3.89,4.0, 0.7,87.0,54.9,2.05,0.88,5.7,10.2,7.4,Mild
203488,18-19,64,20.4,0.138,105.03,2859,5.6,0.4,0.2,0.2, 1.64, 4.49,0.1, 0.0,37.8,19.8,1.2,0.23,1.3,0.3,1.7,Moderate
1626147,17-18,38,13.7,0.188,101.75,1099,5.3,1.9,0.8,0.5,1.0,4.31,0.7, 0.3,20.4,15.6,1.94,0.85,0.4,0.0,1.7,Grave
203917,17-18,41,12.8,0.159,99.94,1086,3.8,2.6,0.7,1.1,0.93,4.37,1.4, 1.0,19.1,12.4,3.0,2.33,0.1,0.0,0.1,Grave
1626143,16-17,50,22.7,0.244,97.93,2311,9.4,3.2,2.0,0.4,1.58,4.19,1.6, None,41.4,31.3,2.38,1.0,5.9,6.7,5.2,Mild
1626143,16-17,50,22.7,0.244,97.93,2311,9.4,3.2,2.0,0.4,1.58,4.19,1.6, None,41.4,31.3,2.38,1.0,5.9,6.7,5.2,Moderate
1626143,16-17,50,22.7,0.244,97.93,2311,9.4,3.2,2.0,0.4,1.58,4.19,1.6, None,41.4,31.3,2.38,1.0,5.9,6.7,5.2,Moderate
203457,16-17,51,20.5,0.171,99.02,2154,6.1,0.9,0.4,0.2,1.41,4.14,0.3, 0.0,30.0,18.3,1.51,0.57,3.2,0.6,6.0,Mild
203457,16-17,51,20.5,0.171,99.02,2154,6.1,0.9,0.4,0.2,1.41,4.14,0.3, 0.0,30.0,18.3,1.51,0.57,3.2,0.6,6.0,Mild
203917,16-17,80,27.3,0.161,99.79,4550,7.9,7.0,1.9,3.0,2.06,4.54,2.4, 1.6,42.8,28.7,2.55,2.09,0.4,0.0,0.8,Mild
203496,16-17,67,31.6,0.188,100.72,4436,10.9,4.3,1.7,1.3,2.24,4.26,0.8, 0.5,49.6,31.9,1.56,0.66,1.0,0.1,2.4,Mild
202397,15-16,77,29.1,0.235,99.41,4633,12.6,15.4,5.1,6.8,2.24,4.64,5.0, 1.1,82.1,31.5,4.56,4.72,0.4,0.1,0.6,Mild
203457,15-16,67,29.3,0.187,99.14,4048,8.8,2.0,0.7,0.7,2.05,4.2,0.7, 0.0,55.5,31.4,1.72,0.68,5.2,2.7,7.5,Moderate
203457,14-15,75,30.8,0.17,96.94,4663,8.7,1.8,0.8,0.5,2.14,4.17,0.5, None,48.8,31.6,1.69,0.58,5.4,4.9,7.7,Moderate
