PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1629014,22-23,62,35.0,0.247,99.22,4485,16.9,8.8,4.5,3.2,2.58,4.13,7.4, 4.1,67.4,32.3,4.78,4.18,0.3,0.0,0.6,Severe
203924,22-23,63,35.6,0.227,99.08,4643,14.5,6.5,3.0,1.7,2.57,4.03,2.8, 0.4,53.3,32.9,2.51,1.44,0.9,2.7,1.9,Mild
1628404,22-23,69,32.6,0.124,98.99,4644,6.9,4.0,1.5,1.9,2.4,4.11,0.9, 0.2,43.9,22.2,2.71,2.1,0.7,0.0,1.8,Moderate
1627853,22-23,18,7.2,0.102,105.39,287,1.5,1.2,0.4,0.7,0.57,4.42,0.4, 0.2,16.3,5.6,4.66,4.35,0.1,0.0,0.1,Grave
1629014,21-22,57,29.5,0.244,98.43,3447,14.0,7.6,3.6,2.7,2.22,4.21,7.0, 3.6,61.3,25.3,5.2,4.62,0.3,0.0,0.4,Severe
1629604,21-22,58,20.2,0.143,100.44,2459,5.3,2.9,1.1,1.2,1.57,4.33,0.6, 0.1,24.4,14.1,2.35,1.53,0.4,0.0,1.7,Mild
1628372,21-22,37,17.3,0.173,101.67,1350,5.1,7.6,2.8,3.8,1.29,4.15,1.2, 0.3,41.5,14.7,4.87,4.41,0.3,0.0,0.6,Mild
1630553,21-22,37,18.8,0.207,99.9,1444,7.4,5.1,2.4,1.8,1.47,4.27,2.4, 1.1,30.5,14.5,4.42,3.89,0.3,0.1,1.1,Grave
1627739,21-22,14,24.0,0.176,101.32,707,7.3,9.0,3.1,4.1,1.84,4.23,2.1, 0.2,58.5,21.9,4.54,3.76,0.6,0.9,0.8,Mild
1629642,21-22,42,25.9,0.155,98.46,2231,7.5,3.3,1.4,1.2,1.94,4.19,1.3, 0.6,32.7,19.3,2.07,1.19,0.7,0.2,1.6,Severe
2546,20-21,69,24.5,0.228,99.23,3493,11.3,1.0,0.7,0.1,1.55,3.61,6.2, 1.4,30.0,20.0,2.88,1.46,0.7,3.2,0.7,Mild
203468,19-20,70,36.5,0.257,101.47,5398,19.4,10.6,6.4,2.8,2.78,4.3,9.8, 3.8,65.5,27.3,4.64,4.08,0.3,0.0,0.9,Severe
202355,19-20,67,30.0,0.192,101.09,4228,10.5,0.5,0.3,0.1,2.06,3.88,0.5, 0.0,46.8,23.7,1.7,0.39,4.5,2.7,9.1,Mild
1626209,19-20,53,16.4,0.135,104.33,1895,4.1,1.7,0.9,0.5,1.22,4.18,1.0, 0.3,27.2,9.6,3.0,1.91,0.2,0.1,0.7,Severe
1626209,19-20,53,16.4,0.135,104.33,1895,4.1,1.7,0.9,0.5,1.22,4.18,1.0, 0.3,27.2,9.6,3.0,1.91,0.2,0.1,0.7,Severe
