PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
201609,22-23,51,15.4,0.196,103.03,1694,5.9,4.8,1.8,2.5,1.19,4.28,2.3, 0.7,34.4,13.5,4.19,3.65,0.1,0.1,0.2,Moderate
204060,22-23,39,23.0,0.124,104.36,1961,5.6,2.9,0.8,1.7,1.68,4.07,1.6, 1.4,33.5,20.3,2.99,1.77,0.1,0.0,0.2,Moderate
203114,22-23,28,24.2,0.255,106.0,1508,12.1,6.5,2.9,2.5,1.76,4.08,5.4, 2.3,48.6,25.4,3.88,3.1,0.8,1.7,1.3,Moderate
1628978,21-22,42,23.9,0.187,102.79,2155,8.0,4.6,1.2,2.6,1.79,4.26,1.9, 1.3,41.9,19.3,3.04,2.32,0.5,0.0,1.6,Severe
203507,21-22,67,32.9,0.34,103.12,4743,18.6,11.7,4.5,3.9,2.33,3.97,6.6, 2.7,73.8,34.7,3.68,2.55,4.0,4.6,6.7,Mild
203507,21-22,67,32.9,0.34,103.12,4743,18.6,11.7,4.5,3.9,2.33,3.97,6.6, 2.7,73.8,34.7,3.68,2.55,4.0,4.6,6.7,Moderate
203507,21-22,67,32.9,0.34,103.12,4743,18.6,11.7,4.5,3.9,2.33,3.97,6.6, 2.7,73.8,34.7,3.68,2.55,4.0,4.6,6.7,Mild
203507,21-22,67,32.9,0.34,103.12,4743,18.6,11.7,4.5,3.9,2.33,3.97,6.6, 2.7,73.8,34.7,3.68,2.55,4.0,4.6,6.7,Mild
203507,21-22,67,32.9,0.34,103.12,4743,18.6,11.7,4.5,3.9,2.33,3.97,6.6, 2.7,73.8,34.7,3.68,2.55,4.0,4.6,6.7,Mild
203507,21-22,67,32.9,0.34,103.12,4743,18.6,11.7,4.5,3.9,2.33,3.97,6.6, 2.7,73.8,34.7,3.68,2.55,4.0,4.6,6.7,Moderate
203507,21-22,67,32.9,0.34,103.12,4743,18.6,11.7,4.5,3.9,2.33,3.97,6.6, 2.7,73.8,34.7,3.68,2.55,4.0,4.6,6.7,Mild
201950,21-22,67,32.9,0.231,101.18,4666,14.2,13.0,5.3,5.7,2.46,4.22,6.2, 3.3,71.9,24.9,4.98,4.43,0.7,1.8,2.3,Mild
201950,21-22,67,32.9,0.231,101.18,4666,14.2,13.0,5.3,5.7,2.46,4.22,6.2, 3.3,71.9,24.9,4.98,4.43,0.7,1.8,2.3,Mild
201950,21-22,67,32.9,0.231,101.18,4666,14.2,13.0,5.3,5.7,2.46,4.22,6.2, 3.3,71.9,24.9,4.98,4.43,0.7,1.8,2.3,Severe
1629623,21-22,19,10.5,0.183,104.86,437,3.2,2.4,0.8,1.0,0.8,4.32,0.4, 0.4,16.7,7.0,4.28,3.78,0.0,0.0,0.5,Moderate
203507,20-21,61,33.0,0.32,104.17,4359,18.0,11.3,4.8,3.6,2.36,4.04,5.9, 2.9,70.0,30.8,3.92,2.8,4.8,4.5,6.0,Moderate
203507,20-21,61,33.0,0.32,104.17,4359,18.0,11.3,4.8,3.6,2.36,4.04,5.9, 2.9,70.0,30.8,3.92,2.8,4.8,4.5,6.0,Severe
203507,20-21,61,33.0,0.32,104.17,4359,18.0,11.3,4.8,3.6,2.36,4.04,5.9, 2.9,70.0,30.8,3.92,2.8,4.8,4.5,6.0,Mild
1629670,20-21,30,9.1,0.254,105.88,603,4.5,1.0,0.7,0.1,0.71,4.3,1.7, 0.7,12.9,7.5,2.9,2.08,0.1,0.1,0.5,Grave
203114,20-21,68,33.4,0.245,103.55,4887,15.8,7.9,3.4,3.3,2.5,4.23,7.9, 2.6,63.3,32.2,3.7,2.86,0.8,1.9,1.7,Moderate
203114,20-21,68,33.4,0.245,103.55,4887,15.8,7.9,3.4,3.3,2.5,4.23,7.9, 2.6,63.3,32.2,3.7,2.86,0.8,1.9,1.7,Mild
203114,20-21,68,33.4,0.245,103.55,4887,15.8,7.9,3.4,3.3,2.5,4.23,7.9, 2.6,63.3,32.2,3.7,2.86,0.8,1.9,1.7,Mild
200782,20-21,52,26.1,0.072,101.99,2871,3.4,0.6,0.2,0.3,1.85,4.08,0.1, 0.0,24.2,12.2,1.37,0.49,0.6,0.1,1.1,Mild
1628391,19-20,37,9.8,0.175,107.13,812,3.6,0.6,0.3,0.2,0.74,4.36,0.6, 0.3,17.4,9.6,1.86,0.71,0.7,0.2,1.0,Mild
1628978,19-20,66,23.0,0.168,107.06,3388,7.7,3.4,1.5,1.3,1.82,4.44,1.7, 1.0,40.0,19.4,2.65,1.9,0.5,0.0,1.6,Mild
1627733,19-20,16,17.8,0.18,103.13,608,5.8,1.4,0.7,0.4,1.4,4.18,0.0, 0.0,38.3,22.8,1.35,0.35,0.9,0.9,2.8,Grave
202339,19-20,61,27.0,0.233,108.1,3706,11.5,11.8,4.6,5.0,2.06,4.32,3.9, 1.9,56.4,20.8,4.49,4.01,0.4,0.3,1.2,Mild
101141,19-20,63,15.7,0.158,107.93,2212,5.0,0.5,0.3,0.1,1.2,4.32,0.7, 0.4,25.1,13.5,1.39,0.43,0.8,0.3,2.3,Mild
1626174,18-19,21,11.9,0.247,108.35,565,5.6,1.3,0.9,0.1, 0.9, 4.31,0.5, 0.0,20.1,12.1,1.88,0.73,0.9,1.5,2.9,Mild
101141,18-19,67,18.4,0.151,105.02,2683,5.7,0.5,0.3,0.1, 1.38, 4.2,0.7, 0.4,28.1,15.9,1.26,0.36,1.1,0.4,2.8,Mild
