PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1629750,22-23,30,15.5,0.129,102.38,986,3.5,1.0,0.4,0.2,1.21,4.35,0.2, 0.0,22.7,11.3,1.24,0.44,0.5,0.0,1.7,Grave
1629750,22-23,30,15.5,0.129,102.38,986,3.5,1.0,0.4,0.2,1.21,4.35,0.2, 0.0,22.7,11.3,1.24,0.44,0.5,0.0,1.7,Moderate
203897,21-22,67,34.7,0.284,99.36,4827,17.7,9.9,4.9,2.7,2.55,4.21,8.5, 4.3,61.4,31.2,4.38,3.75,0.8,0.4,1.1,Severe
203897,21-22,67,34.7,0.284,99.36,4827,17.7,9.9,4.9,2.7,2.55,4.21,8.5, 4.3,61.4,31.2,4.38,3.75,0.8,0.4,1.1,Mild
203897,21-22,67,34.7,0.284,99.36,4827,17.7,9.9,4.9,2.7,2.55,4.21,8.5, 4.3,61.4,31.2,4.38,3.75,0.8,0.4,1.1,Mild
203897,21-22,67,34.7,0.284,99.36,4827,17.7,9.9,4.9,2.7,2.55,4.21,8.5, 4.3,61.4,31.2,4.38,3.75,0.8,0.4,1.1,Severe
203897,21-22,67,34.7,0.284,99.36,4827,17.7,9.9,4.9,2.7,2.55,4.21,8.5, 4.3,61.4,31.2,4.38,3.75,0.8,0.4,1.1,Severe
202066,20-21,56,27.3,0.126,102.2,3254,6.8,2.3,0.9,1.1,2.05,4.23,1.5, 0.5,30.9,20.5,2.27,1.63,0.4,0.0,1.0,Severe
203897,20-21,58,35.1,0.302,101.34,4304,19.4,12.0,5.9,3.3,2.71,4.37,8.6, 5.4,68.0,33.9,4.79,4.33,0.9,0.5,1.3,Mild
1629655,19-20,43,14.2,0.131,102.14,1294,3.1,0.2,0.1,0.0,1.09,4.32,0.0, None,14.7,8.9,1.57,0.43,1.5,0.3,3.9,Severe
1626171,18-19,50,26.0,0.241,101.85,2760,12.6,2.4,1.5,0.5, 1.89, 4.09,1.3, 0.1,50.5,29.7,1.77,0.84,1.8,3.7,4.3,Grave
1626245,18-19,60,12.4,0.138,101.48,1576,3.0,0.3,0.2,0.0, 0.94, 4.26,0.1, 0.0,20.9,11.6,1.71,0.47,2.1,0.4,3.1,Moderate
203897,18-19,63,34.5,0.298,99.98,4519,18.0,13.6,6.7,4.0, 2.69, 4.43,6.4, 3.1,62.9,36.4,4.57,3.96,0.8,0.5,1.4,Mild
1626245,17-18,55,17.8,0.133,98.9,2012,3.9,0.5,0.3,0.1,1.32,4.49,0.1, 0.0,21.0,15.9,1.87,0.6,2.9,1.3,4.1,Mild
1628021,17-18,70,23.5,0.153,99.65,3398,6.0,4.5,2.1,1.1,1.82,4.65,0.3, 0.1,23.5,16.4,2.57,2.02,0.7,0.4,2.3,Grave
200765,16-17,69,26.7,0.174,96.97,3732,8.1,8.4,2.7,3.4,1.85,4.17,2.0, 0.3,70.6,26.7,4.47,4.03,0.9,0.2,1.3,Moderate
200765,16-17,69,26.7,0.174,96.97,3732,8.1,8.4,2.7,3.4,1.85,4.17,2.0, 0.3,70.6,26.7,4.47,4.03,0.9,0.2,1.3,Mild
200765,16-17,69,26.7,0.174,96.97,3732,8.1,8.4,2.7,3.4,1.85,4.17,2.0, 0.3,70.6,26.7,4.47,4.03,0.9,0.2,1.3,Mild
201959,16-17,78,25.5,0.188,97.06,4012,9.1,0.6,0.4,0.1,1.76,4.16,0.3, 0.0,49.6,27.5,1.59,0.46,3.2,4.6,5.6,Mild
201959,16-17,78,25.5,0.188,97.06,4012,9.1,0.6,0.4,0.1,1.76,4.16,0.3, 0.0,49.6,27.5,1.59,0.46,3.2,4.6,5.6,Mild
201565,15-16,66,31.8,0.266,97.9,4276,15.9,13.5,6.5,4.2,2.26,4.28,6.5, 0.7,75.7,25.4,4.73,4.23,0.5,0.2,1.2,Moderate
203926,15-16,81,23.0,0.166,98.78,3852,8.0,1.6,1.1,0.1,1.74,4.54,1.7, 0.2,24.1,19.8,1.47,0.63,0.5,0.4,1.0,Mild
201149,15-16,29,21.9,0.137,98.01,1288,4.6,1.5,0.7,0.4,1.58,4.32,0.0, 0.0,53.0,28.9,1.92,0.76,3.0,0.7,6.3,Moderate
201149,14-15,67,30.6,0.135,94.73,4041,6.4,1.7,0.7,0.6,2.08,4.09,0.2, 0.0,68.2,37.9,1.82,0.76,5.1,1.0,7.9,Mild
201149,14-15,67,30.6,0.135,94.73,4041,6.4,1.7,0.7,0.6,2.08,4.09,0.2, 0.0,68.2,37.9,1.82,0.76,5.1,1.0,7.9,Moderate
201149,14-15,67,30.6,0.135,94.73,4041,6.4,1.7,0.7,0.6,2.08,4.09,0.2, 0.0,68.2,37.9,1.82,0.76,5.1,1.0,7.9,Severe
201149,14-15,67,30.6,0.135,94.73,4041,6.4,1.7,0.7,0.6,2.08,4.09,0.2, 0.0,68.2,37.9,1.82,0.76,5.1,1.0,7.9,Mild
201959,14-15,62,27.3,0.175,93.25,3279,8.2,0.4,0.2,0.1,1.81,3.98,0.4, None,35.7,23.3,1.68,0.68,2.8,4.5,7.6,Grave
201959,14-15,62,27.3,0.175,93.25,3279,8.2,0.4,0.2,0.1,1.81,3.98,0.4, None,35.7,23.3,1.68,0.68,2.8,4.5,7.6,Mild
201959,14-15,62,27.3,0.175,93.25,3279,8.2,0.4,0.2,0.1,1.81,3.98,0.4, None,35.7,23.3,1.68,0.68,2.8,4.5,7.6,Moderate
