PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1627747,22-23,69,30.0,0.186,97.53,4197,10.1,9.7,3.9,4.3,2.2,4.08,3.2, 1.6,47.8,28.1,3.61,3.03,0.6,0.0,1.1,Moderate
1628378,22-23,63,35.5,0.308,96.83,4529,20.3,12.5,6.4,4.3,2.37,3.73,9.5, 5.7,67.9,31.9,4.98,4.48,0.8,0.0,1.1,Mild
1626224,21-22,66,22.1,0.206,99.48,3028,8.7,3.5,1.3,1.5,1.64,4.14,1.6, 1.1,35.6,26.0,2.55,1.65,0.6,0.0,0.9,Moderate
1629636,21-22,68,35.7,0.272,97.42,4954,17.3,17.5,6.4,8.5,2.66,4.19,7.8, 3.8,85.6,33.5,5.39,4.96,0.8,0.0,0.9,Moderate
1629636,21-22,68,35.7,0.272,97.42,4954,17.3,17.5,6.4,8.5,2.66,4.19,7.8, 3.8,85.6,33.5,5.39,4.96,0.8,0.0,0.9,Mild
1629636,21-22,68,35.7,0.272,97.42,4954,17.3,17.5,6.4,8.5,2.66,4.19,7.8, 3.8,85.6,33.5,5.39,4.96,0.8,0.0,0.9,Severe
1629636,21-22,68,35.7,0.272,97.42,4954,17.3,17.5,6.4,8.5,2.66,4.19,7.8, 3.8,85.6,33.5,5.39,4.96,0.8,0.0,0.9,Mild
1629731,21-22,51,19.2,0.107,97.79,1996,4.3,1.2,0.5,0.6,1.46,4.28,0.4, 0.1,25.1,16.2,1.68,0.46,0.5,0.0,1.1,Moderate
1629731,21-22,51,19.2,0.107,97.79,1996,4.3,1.2,0.5,0.6,1.46,4.28,0.4, 0.1,25.1,16.2,1.68,0.46,0.5,0.0,1.1,Mild
1629685,21-22,50,9.2,0.115,97.47,928,2.0,0.9,0.2,0.5,0.72,4.39,0.1, 0.1,13.3,8.9,1.64,0.55,0.0,0.0,0.6,Mild
1630596,21-22,69,33.8,0.201,97.5,4741,12.0,3.5,1.9,0.9,2.48,4.12,2.1, 0.1,59.0,32.6,2.04,0.79,4.3,3.1,7.7,Severe
1630205,21-22,63,16.1,0.169,98.0,2066,5.1,2.4,1.5,0.6,1.21,4.2,1.1, 0.0,19.8,12.6,2.29,1.25,0.3,0.2,1.4,Moderate
1630205,21-22,63,16.1,0.169,98.0,2066,5.1,2.4,1.5,0.6,1.21,4.2,1.1, 0.0,19.8,12.6,2.29,1.25,0.3,0.2,1.4,Severe
1628374,21-22,61,30.8,0.192,97.7,3831,11.5,2.3,1.2,0.7,2.22,4.07,1.0, 0.2,42.7,28.4,1.81,0.67,1.2,1.6,3.8,Grave
200765,21-22,39,17.9,0.152,101.99,1486,4.5,5.1,1.8,2.5,1.28,3.99,1.2, 0.6,46.3,17.6,4.42,3.74,0.4,0.0,0.6,Grave
203083,20-21,46,27.0,0.269,98.31,2540,12.4,2.8,1.9,0.3,1.86,3.89,0.2, 0.0,53.0,30.0,2.15,0.89,4.1,6.4,10.0,Mild
1628422,20-21,46,19.7,0.162,99.68,1893,6.4,3.6,1.2,1.8,1.43,4.17,2.1, 1.0,33.0,18.1,3.79,3.12,0.3,0.0,0.2,Severe
1629636,20-21,54,33.1,0.245,98.78,3687,14.9,15.9,7.0,6.6,2.59,4.39,5.5, 2.4,77.1,33.4,4.82,4.36,0.6,0.1,0.7,Severe
1629636,20-21,54,33.1,0.245,98.78,3687,14.9,15.9,7.0,6.6,2.59,4.39,5.5, 2.4,77.1,33.4,4.82,4.36,0.6,0.1,0.7,Mild
1629685,20-21,31,16.5,0.14,101.87,1092,4.2,2.1,0.7,1.0,1.35,4.58,0.2, 0.0,24.2,15.8,1.89,0.79,0.3,0.0,1.1,Moderate
1627752,20-21,41,22.1,0.189,101.72,1913,8.0,4.4,2.1,1.6,1.58,4.01,2.4, 1.1,31.4,19.9,2.37,1.31,0.3,0.1,0.8,Mild
1627752,20-21,41,22.1,0.189,101.72,1913,8.0,4.4,2.1,1.6,1.58,4.01,2.4, 1.1,31.4,19.9,2.37,1.31,0.3,0.1,0.8,Severe
202688,19-20,25,18.5,0.207,98.8,953,6.7,4.8,1.2,2.9,1.38,4.15,3.3, 2.7,35.6,14.2,4.72,4.73,0.0,0.0,0.2,Grave
202688,19-20,25,18.5,0.207,98.8,953,6.7,4.8,1.2,2.9,1.38,4.15,3.3, 2.7,35.6,14.2,4.72,4.73,0.0,0.0,0.2,Mild
1629731,19-20,12,6.0,0.091,105.19,157,1.1,0.2,0.0,0.1,0.48,4.43,0.0, 0.0,7.7,3.5,1.61,0.58,0.1,0.0,0.8,Mild
203089,19-20,40,15.0,0.16,100.77,1255,4.3,0.2,0.1,0.1,1.06,3.96,0.0, 0.0,23.3,15.8,1.6,0.41,2.0,0.4,4.4,Moderate
203089,19-20,40,15.0,0.16,100.77,1255,4.3,0.2,0.1,0.1,1.06,3.96,0.0, 0.0,23.3,15.8,1.6,0.41,2.0,0.4,4.4,Mild
1626204,19-20,56,26.3,0.15,99.92,3064,7.7,1.2,0.5,0.5,1.91,4.06,0.6, 0.2,45.1,26.2,2.06,0.93,2.9,1.4,5.8,Severe
1626204,19-20,56,26.3,0.15,99.92,3064,7.7,1.2,0.5,0.5,1.91,4.06,0.6, 0.2,45.1,26.2,2.06,0.93,2.9,1.4,5.8,Moderate
1627790,18-19,59,18.3,0.178,99.35,2243,5.6,0.3,0.2,0.1, 1.28, 4.0,0.1, None,22.8,14.9,1.79,0.59,4.1,2.5,6.1,Mild
1627790,18-19,59,18.3,0.178,99.35,2243,5.6,0.3,0.2,0.1, 1.28, 4.0,0.1, None,22.8,14.9,1.79,0.59,4.1,2.5,6.1,Mild
1626224,18-19,76,32.2,0.182,98.05,4992,11.1,6.1,2.9,2.2, 2.33, 4.13,3.1, 1.3,51.5,32.0,2.9,1.96,1.3,0.7,0.9,Severe
1628021,18-19,51,19.3,0.141,98.51,2020,5.1,2.5,1.5,0.6, 1.44, 4.28,0.3, 0.1,21.3,12.5,2.29,1.46,0.7,0.3,1.6,Severe
1628021,18-19,51,19.3,0.141,98.51,2020,5.1,2.5,1.5,0.6, 1.44, 4.28,0.3, 0.1,21.3,12.5,2.29,1.46,0.7,0.3,1.6,Mild
1628021,18-19,51,19.3,0.141,98.51,2020,5.1,2.5,1.5,0.6, 1.44, 4.28,0.3, 0.1,21.3,12.5,2.29,1.46,0.7,0.3,1.6,Grave
1626204,18-19,67,26.8,0.152,97.93,3663,7.1,1.8,0.7,0.8, 1.93, 4.13,0.7, 0.2,48.4,27.4,2.37,1.2,5.9,2.1,6.3,Moderate
203521,18-19,48,16.9,0.173,100.71,1705,5.0,4.8,1.9,2.2, 1.27, 4.2,1.7, 0.9,39.0,14.8,4.99,4.78,0.1,0.3,0.3,Mild
1626155,18-19,47,16.8,0.157,102.5,1684,5.4,2.0,1.2,0.5, 1.36, 4.56,0.6, 0.3,23.6,13.5,1.84,1.03,0.5,0.2,1.9,Grave
