PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
203935,22-23,56,32.4,0.173,100.53,3789,9.7,7.4,2.5,3.7,2.16,3.75,1.7, 1.0,60.2,25.7,4.08,3.36,0.4,1.1,1.2,Grave
1630174,21-22,52,11.0,0.164,100.58,1196,3.5,1.3,0.6,0.5,0.84,4.34,0.6, 0.3,15.4,8.2,1.88,0.99,0.2,0.0,0.3,Grave
1630174,21-22,52,11.0,0.164,100.58,1196,3.5,1.3,0.6,0.5,0.84,4.34,0.6, 0.3,15.4,8.2,1.88,0.99,0.2,0.0,0.3,Moderate
201143,21-22,69,29.1,0.147,98.03,4096,8.2,1.2,0.5,0.5,2.01,3.95,0.3, 0.1,49.4,29.4,1.73,0.64,2.2,1.9,3.9,Mild
201143,21-22,69,29.1,0.147,98.03,4096,8.2,1.2,0.5,0.5,2.01,3.95,0.3, 0.1,49.4,29.4,1.73,0.64,2.2,1.9,3.9,Mild
1630271,21-22,12,5.0,0.172,107.86,134,1.5,0.8,0.2,0.6,0.36,4.33,0.3, 0.3,7.6,3.3,4.04,3.74,0.2,0.0,0.3,Severe
1627759,21-22,66,33.6,0.298,98.57,4563,18.4,11.1,4.8,4.4,2.38,4.03,5.6, 2.4,60.2,36.5,3.3,2.6,1.4,1.4,2.1,Moderate
203935,21-22,71,32.3,0.179,99.02,4737,10.1,8.7,3.2,4.0,2.19,3.86,1.5, 0.8,65.2,28.4,3.68,3.04,0.6,0.9,1.1,Moderate
203917,21-22,8,4.8,0.184,102.71,84,1.8,0.5,0.0,0.1,0.37,4.29,0.9, 0.5,6.4,4.1,2.38,1.67,0.1,0.0,0.0,Grave
1629641,21-22,48,16.1,0.123,99.06,1586,4.0,2.0,1.1,0.6,1.22,4.25,0.6, 0.2,15.0,9.3,1.92,1.11,0.3,0.0,0.9,Mild
1627759,20-21,58,34.5,0.29,100.17,4169,19.2,10.5,5.1,3.6,2.54,4.13,6.4, 2.3,56.9,37.1,2.81,2.23,1.1,1.4,2.2,Mild
1627759,20-21,58,34.5,0.29,100.17,4169,19.2,10.5,5.1,3.6,2.54,4.13,6.4, 2.3,56.9,37.1,2.81,2.23,1.1,1.4,2.2,Moderate
201952,20-21,55,17.3,0.174,101.9,2017,5.2,6.6,2.8,2.7,1.19,3.89,1.7, 0.7,32.5,12.4,4.73,4.55,0.3,0.1,0.2,Moderate
202689,20-21,43,31.8,0.256,99.45,2839,15.7,10.2,4.1,4.5,2.35,4.16,8.5, 5.5,72.7,25.5,4.64,4.41,0.2,0.0,0.4,Mild
202689,20-21,43,31.8,0.256,99.45,2839,15.7,10.2,4.1,4.5,2.35,4.16,8.5, 5.5,72.7,25.5,4.64,4.41,0.2,0.0,0.4,Mild
202689,20-21,43,31.8,0.256,99.45,2839,15.7,10.2,4.1,4.5,2.35,4.16,8.5, 5.5,72.7,25.5,4.64,4.41,0.2,0.0,0.4,Mild
202689,20-21,43,31.8,0.256,99.45,2839,15.7,10.2,4.1,4.5,2.35,4.16,8.5, 5.5,72.7,25.5,4.64,4.41,0.2,0.0,0.4,Mild
202689,20-21,43,31.8,0.256,99.45,2839,15.7,10.2,4.1,4.5,2.35,4.16,8.5, 5.5,72.7,25.5,4.64,4.41,0.2,0.0,0.4,Mild
202689,20-21,43,31.8,0.256,99.45,2839,15.7,10.2,4.1,4.5,2.35,4.16,8.5, 5.5,72.7,25.5,4.64,4.41,0.2,0.0,0.4,Mild
202689,20-21,43,31.8,0.256,99.45,2839,15.7,10.2,4.1,4.5,2.35,4.16,8.5, 5.5,72.7,25.5,4.64,4.41,0.2,0.0,0.4,Mild
202689,20-21,43,31.8,0.256,99.45,2839,15.7,10.2,4.1,4.5,2.35,4.16,8.5, 5.5,72.7,25.5,4.64,4.41,0.2,0.0,0.4,Mild
202689,20-21,43,31.8,0.256,99.45,2839,15.7,10.2,4.1,4.5,2.35,4.16,8.5, 5.5,72.7,25.5,4.64,4.41,0.2,0.0,0.4,Mild
202689,20-21,43,31.8,0.256,99.45,2839,15.7,10.2,4.1,4.5,2.35,4.16,8.5, 5.5,72.7,25.5,4.64,4.41,0.2,0.0,0.4,Mild
202689,20-21,43,31.8,0.256,99.45,2839,15.7,10.2,4.1,4.5,2.35,4.16,8.5, 5.5,72.7,25.5,4.64,4.41,0.2,0.0,0.4,Grave
1629605,20-21,19,7.1,0.127,103.23,295,1.5,0.2,0.1,0.1,0.51,3.92,0.0, None,6.9,4.7,2.34,0.73,0.3,0.7,2.3,Mild
1628464,19-20,65,24.1,0.144,100.04,3252,6.6,0.4,0.2,0.1,1.74,4.07,0.1, 0.1,36.0,25.3,1.53,0.39,2.9,0.2,5.6,Mild
1628464,19-20,65,24.1,0.144,100.04,3252,6.6,0.4,0.2,0.1,1.74,4.07,0.1, 0.1,36.0,25.3,1.53,0.39,2.9,0.2,5.6,Moderate
1628464,19-20,65,24.1,0.144,100.04,3252,6.6,0.4,0.2,0.1,1.74,4.07,0.1, 0.1,36.0,25.3,1.53,0.39,2.9,0.2,5.6,Moderate
1627759,19-20,57,33.9,0.245,99.75,3997,15.6,8.5,4.4,2.5,2.48,4.11,4.1, 1.7,49.0,31.5,2.65,1.93,1.1,1.1,2.2,Mild
1627759,19-20,57,33.9,0.245,99.75,3997,15.6,8.5,4.4,2.5,2.48,4.11,4.1, 1.7,49.0,31.5,2.65,1.93,1.1,1.1,2.2,Moderate
1628369,19-20,66,34.3,0.28,100.63,4746,18.6,10.8,6.3,2.5,2.45,4.01,8.4, 4.7,68.1,38.7,3.01,2.1,1.4,1.5,2.0,Mild
1628369,19-20,66,34.3,0.28,100.63,4746,18.6,10.8,6.3,2.5,2.45,4.01,8.4, 4.7,68.1,38.7,3.01,2.1,1.4,1.5,2.0,Moderate
202689,19-20,56,31.1,0.268,100.23,3634,15.9,10.9,4.8,4.3,2.33,4.21,8.5, 5.9,70.8,24.1,5.0,4.59,0.3,0.0,0.7,Severe
202689,19-20,56,31.1,0.268,100.23,3634,15.9,10.9,4.8,4.3,2.33,4.21,8.5, 5.9,70.8,24.1,5.0,4.59,0.3,0.0,0.7,Moderate
202689,19-20,56,31.1,0.268,100.23,3634,15.9,10.9,4.8,4.3,2.33,4.21,8.5, 5.9,70.8,24.1,5.0,4.59,0.3,0.0,0.7,Mild
202689,19-20,56,31.1,0.268,100.23,3634,15.9,10.9,4.8,4.3,2.33,4.21,8.5, 5.9,70.8,24.1,5.0,4.59,0.3,0.0,0.7,Moderate
1629641,19-20,32,11.6,0.113,102.2,786,2.5,1.3,0.8,0.3,0.89,4.32,0.1, 0.0,9.7,6.4,2.27,1.4,0.2,0.1,0.6,Moderate
1629641,19-20,32,11.6,0.113,102.2,786,2.5,1.3,0.8,0.3,0.89,4.32,0.1, 0.0,9.7,6.4,2.27,1.4,0.2,0.1,0.6,Moderate
201143,18-19,68,29.0,0.188,100.82,4146,10.6,1.6,0.7,0.6, 2.04, 3.98,0.7, 0.0,57.0,37.4,1.78,0.76,4.1,3.7,5.2,Moderate
201143,18-19,68,29.0,0.188,100.82,4146,10.6,1.6,0.7,0.6, 2.04, 3.98,0.7, 0.0,57.0,37.4,1.78,0.76,4.1,3.7,5.2,Mild
201143,18-19,68,29.0,0.188,100.82,4146,10.6,1.6,0.7,0.6, 2.04, 3.98,0.7, 0.0,57.0,37.4,1.78,0.76,4.1,3.7,5.2,Mild
201143,18-19,68,29.0,0.188,100.82,4146,10.6,1.6,0.7,0.6, 2.04, 3.98,0.7, 0.0,57.0,37.4,1.78,0.76,4.1,3.7,5.2,Severe
201143,18-19,68,29.0,0.188,100.82,4146,10.6,1.6,0.7,0.6, 2.04, 3.98,0.7, 0.0,57.0,37.4,1.78,0.76,4.1,3.7,5.2,Mild
203382,18-19,51,16.1,0.147,102.92,1757,4.4,0.0,0.0,0.0, 1.15, 4.02,0.0, 0.0,23.7,15.3,1.32,0.28,1.4,0.6,3.8,Moderate
203382,18-19,51,16.1,0.147,102.92,1757,4.4,0.0,0.0,0.0, 1.15, 4.02,0.0, 0.0,23.7,15.3,1.32,0.28,1.4,0.6,3.8,Mild
203382,18-19,51,16.1,0.147,102.92,1757,4.4,0.0,0.0,0.0, 1.15, 4.02,0.0, 0.0,23.7,15.3,1.32,0.28,1.4,0.6,3.8,Mild
