PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1629631,22-23,63,31.9,0.193,102.68,4304,12.2,5.6,3.3,1.2,2.3,4.05,3.9, 0.5,38.1,23.8,2.23,1.39,0.9,0.5,1.2,Moderate
203992,21-22,63,29.3,0.212,98.89,3818,12.6,6.5,2.8,2.8,2.16,4.2,4.7, 2.5,43.0,26.7,2.85,1.99,0.4,0.2,0.5,Mild
203992,21-22,63,29.3,0.212,98.89,3818,12.6,6.5,2.8,2.8,2.16,4.2,4.7, 2.5,43.0,26.7,2.85,1.99,0.4,0.2,0.5,Severe
203992,21-22,63,29.3,0.212,98.89,3818,12.6,6.5,2.8,2.8,2.16,4.2,4.7, 2.5,43.0,26.7,2.85,1.99,0.4,0.2,0.5,Grave
1629629,21-22,49,20.7,0.213,100.62,2118,8.3,4.5,2.3,1.2,1.58,4.27,2.8, 1.0,23.2,16.8,2.52,1.62,0.5,0.0,0.7,Mild
203991,21-22,74,27.6,0.149,100.22,4257,8.2,0.2,0.1,0.0,1.93,4.0,0.0, 0.0,38.8,19.5,1.35,0.26,2.9,0.4,9.9,Severe
1629631,21-22,53,29.8,0.194,100.17,3294,10.8,5.6,3.1,1.2,2.15,4.08,2.8, 0.3,32.5,21.7,2.21,1.31,0.8,0.5,1.2,Mild
1630552,21-22,22,5.5,0.183,104.26,265,1.9,0.9,0.5,0.3,0.42,4.27,0.3, 0.0,8.0,4.0,2.08,1.0,0.0,0.0,0.5,Mild
201568,20-21,51,24.0,0.211,98.8,2526,9.3,2.0,0.8,0.7,1.66,3.87,2.6, 0.8,41.3,25.3,2.28,0.91,0.7,2.9,0.9,Mild
201568,20-21,51,24.0,0.211,98.8,2526,9.3,2.0,0.8,0.7,1.66,3.87,2.6, 0.8,41.3,25.3,2.28,0.91,0.7,2.9,0.9,Moderate
201568,20-21,51,24.0,0.211,98.8,2526,9.3,2.0,0.8,0.7,1.66,3.87,2.6, 0.8,41.3,25.3,2.28,0.91,0.7,2.9,0.9,Grave
1629631,20-21,23,29.5,0.194,101.8,1440,10.8,6.2,3.1,2.1,2.17,4.16,3.1, 0.8,38.5,26.0,2.28,1.49,0.7,1.5,1.3,Grave
1629631,20-21,23,29.5,0.194,101.8,1440,10.8,6.2,3.1,2.1,2.17,4.16,3.1, 0.8,38.5,26.0,2.28,1.49,0.7,1.5,1.3,Mild
1628381,20-21,63,29.3,0.214,99.99,3858,12.2,2.3,1.4,0.5,2.2,4.24,1.0, 0.1,52.0,28.9,1.56,0.47,2.2,3.1,6.1,Grave
1628989,20-21,69,30.8,0.167,99.5,4406,10.6,5.2,2.8,1.9,2.3,4.2,3.3, 1.4,44.0,29.6,2.81,2.05,0.5,0.0,1.0,Moderate
200765,20-21,45,17.1,0.166,99.08,1591,4.8,5.8,2.1,2.7,1.19,3.88,1.4, 0.9,43.3,16.1,5.09,4.43,0.4,0.0,0.4,Severe
