PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1628997,22-23,63,29.7,0.143,98.27,3818,7.9,3.2,1.3,1.2,2.43,4.58,1.4, 0.5,38.8,21.8,2.45,1.56,0.7,0.1,2.3,Mild
1628997,22-23,63,29.7,0.143,98.27,3818,7.9,3.2,1.3,1.2,2.43,4.58,1.4, 0.5,38.8,21.8,2.45,1.56,0.7,0.1,2.3,Mild
202710,22-23,59,33.4,0.25,97.33,3989,14.0,13.9,5.4,6.3,2.38,4.0,3.5, 0.5,62.8,37.1,4.37,3.21,1.9,2.7,5.9,Mild
200768,22-23,49,32.4,0.164,97.35,3228,9.3,6.9,2.1,3.9,2.14,3.7,3.2, 2.1,72.4,33.4,3.53,2.59,0.3,0.1,0.9,Grave
1629639,22-23,60,35.3,0.25,97.58,4317,16.7,11.0,5.1,4.3,2.68,4.28,8.1, 4.0,66.5,34.9,3.97,3.26,0.5,0.0,0.7,Grave
203473,21-22,67,15.9,0.164,98.33,2169,4.3,0.2,0.1,0.0,1.16,4.08,0.1, 0.0,24.9,12.6,1.67,0.41,1.7,0.4,4.1,Moderate
203473,21-22,67,15.9,0.164,98.33,2169,4.3,0.2,0.1,0.0,1.16,4.08,0.1, 0.0,24.9,12.6,1.67,0.41,1.7,0.4,4.1,Moderate
202710,21-22,57,33.9,0.26,96.49,3886,14.5,13.4,4.9,6.0,2.44,4.03,4.4, 0.7,68.8,39.3,4.39,3.1,1.9,3.4,5.4,Mild
202710,21-22,57,33.9,0.26,96.49,3886,14.5,13.4,4.9,6.0,2.44,4.03,4.4, 0.7,68.8,39.3,4.39,3.1,1.9,3.4,5.4,Severe
202710,21-22,57,33.9,0.26,96.49,3886,14.5,13.4,4.9,6.0,2.44,4.03,4.4, 0.7,68.8,39.3,4.39,3.1,1.9,3.4,5.4,Moderate
1629644,21-22,21,11.6,0.141,97.25,491,3.3,1.4,0.4,0.9,0.9,4.31,0.1, 0.0,14.9,9.5,1.9,0.94,0.7,0.0,1.5,Moderate
200768,21-22,63,33.9,0.178,98.25,4364,10.0,7.2,2.1,4.0,2.28,3.76,4.7, 2.9,81.4,35.0,3.71,2.86,0.5,0.2,0.9,Mild
200782,21-22,71,27.9,0.116,96.38,3970,6.0,1.1,0.5,0.5,2.05,4.12,0.4, 0.1,33.9,20.0,1.78,0.81,1.2,0.4,2.7,Mild
200782,21-22,71,27.9,0.116,96.38,3970,6.0,1.1,0.5,0.5,2.05,4.12,0.4, 0.1,33.9,20.0,1.78,0.81,1.2,0.4,2.7,Mild
200782,21-22,71,27.9,0.116,96.38,3970,6.0,1.1,0.5,0.5,2.05,4.12,0.4, 0.1,33.9,20.0,1.78,0.81,1.2,0.4,2.7,Mild
1629639,21-22,66,32.6,0.278,97.92,4391,17.0,11.8,5.5,4.7,2.53,4.35,8.2, 3.4,65.3,30.6,4.32,3.83,0.5,0.0,1.0,Moderate
1629639,21-22,66,32.6,0.278,97.92,4391,17.0,11.8,5.5,4.7,2.53,4.35,8.2, 3.4,65.3,30.6,4.32,3.83,0.5,0.0,1.0,Moderate
1628389,20-21,64,33.5,0.233,97.71,4361,12.5,3.5,1.8,0.8,2.38,4.0,2.8, 0.1,64.4,40.4,2.88,1.55,6.4,5.7,8.1,Mild
1629216,20-21,50,13.1,0.184,97.74,1335,4.7,2.9,1.2,1.4,1.01,4.33,1.1, 0.7,20.8,9.9,4.08,3.33,0.1,0.0,0.3,Mild
