PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1628372,22-23,53,25.7,0.173,102.18,2903,8.3,9.1,3.4,4.6,1.95,4.24,2.3, 0.3,53.3,22.6,4.22,3.84,0.3,0.1,0.9,Grave
1630539,22-23,39,10.3,0.116,102.48,863,2.3,0.7,0.4,0.2,0.79,4.25,0.3, 0.0,11.8,6.3,1.77,0.74,0.1,0.1,1.6,Moderate
1628998,21-22,71,26.3,0.12,100.54,3895,6.0,3.5,1.3,1.6,2.11,4.48,0.8, 0.2,35.1,19.7,2.43,1.59,0.6,0.1,1.7,Grave
202330,21-22,49,31.9,0.202,102.99,3352,12.6,8.3,3.2,3.6,2.43,4.28,3.8, 0.8,54.7,35.2,2.77,1.83,1.3,1.0,2.6,Grave
1629667,21-22,55,16.3,0.152,100.96,1882,4.6,3.1,1.1,1.2,1.29,4.44,0.3, 0.1,24.8,12.5,1.94,1.13,0.5,0.0,1.2,Mild
1629667,21-22,55,16.3,0.152,100.96,1882,4.6,3.1,1.1,1.2,1.29,4.44,0.3, 0.1,24.8,12.5,1.94,1.13,0.5,0.0,1.2,Grave
1626162,21-22,76,26.3,0.223,101.87,4235,12.3,3.6,2.2,0.7,1.95,4.11,2.3, 1.5,33.1,23.0,2.0,1.24,0.5,0.0,1.5,Moderate
1626179,21-22,73,33.7,0.227,101.03,5175,16.0,10.1,4.2,4.9,2.61,4.37,5.3, 2.5,68.4,36.2,3.64,3.11,0.4,0.0,0.8,Mild
1626179,21-22,73,33.7,0.227,101.03,5175,16.0,10.1,4.2,4.9,2.61,4.37,5.3, 2.5,68.4,36.2,3.64,3.11,0.4,0.0,0.8,Moderate
1628998,20-21,52,16.3,0.123,100.16,1762,3.6,2.2,0.7,0.9,1.32,4.55,0.5, 0.1,22.4,13.5,2.45,1.48,0.3,0.0,1.1,Grave
1628984,20-21,55,30.2,0.211,99.34,3444,12.2,5.6,1.6,2.9,2.22,4.14,5.3, 3.3,70.6,31.9,4.32,3.85,0.1,0.0,0.3,Grave
202330,20-21,44,34.0,0.235,100.83,3142,15.0,11.3,4.5,4.6,2.64,4.39,5.2, 1.4,64.6,41.9,2.78,1.82,1.1,0.8,2.7,Moderate
1630268,20-21,7,3.7,0.133,98.33,53,1.0,0.0,0.0,0.0,0.29,4.19,0.0, 0.0,4.3,3.9,1.19,0.47,0.0,0.0,0.0,Grave
1630208,20-21,18,3.5,0.111,101.95,134,0.5,0.0,0.0,0.0,0.28,4.41,0.0, 0.0,3.6,2.4,1.55,0.41,0.3,0.2,0.5,Mild
1626179,20-21,69,34.5,0.238,99.64,4953,16.4,10.3,4.6,4.5,2.65,4.35,5.7, 2.8,65.6,36.8,3.38,2.85,0.5,0.0,0.9,Moderate
1628984,19-20,63,35.1,0.243,97.32,4491,15.3,10.6,3.8,4.8,2.57,4.11,8.3, 5.8,90.6,35.2,5.4,4.97,0.3,0.0,0.5,Mild
1628407,19-20,39,17.6,0.189,99.14,1412,6.3,4.9,2.6,1.6,1.28,4.06,1.9, 0.6,26.2,19.1,2.53,1.72,0.2,0.2,0.4,Mild
101107,19-20,58,19.5,0.12,101.7,2386,4.6,0.9,0.4,0.4,1.38,4.08,0.6, 0.2,23.9,14.8,1.28,0.43,0.4,1.2,1.1,Severe
1626179,19-20,63,34.4,0.232,96.62,4354,14.9,10.2,4.6,4.2,2.58,4.25,5.9, 2.9,69.9,37.0,4.21,3.64,0.4,0.0,0.8,Severe
203077,18-19,64,18.4,0.153,100.91,2467,5.2,2.1,1.4,0.4, 1.44, 4.35,0.5, 0.1,25.6,14.1,1.74,0.99,0.9,0.4,2.7,Severe
1626195,18-19,58,14.0,0.206,102.82,1745,5.1,0.3,0.1,0.0, 1.09, 4.38,0.1, 0.0,32.1,16.8,1.44,0.45,2.8,1.2,5.0,Mild
203469,17-18,33,19.0,0.152,99.8,1302,4.7,0.8,0.3,0.1,1.38,4.36,0.2, 0.0,19.8,14.6,1.51,0.63,3.1,0.2,4.5,Moderate
1626163,17-18,79,23.2,0.202,98.79,3791,9.1,4.4,2.5,1.1,1.67,4.33,1.8, 0.2,47.3,26.6,1.64,0.6,2.0,1.2,1.3,Mild
101107,17-18,78,25.7,0.145,100.05,4182,7.2,1.3,0.9,0.2,1.86,4.35,0.7, 0.1,45.1,23.7,1.21,0.3,1.1,0.9,1.7,Severe
1626174,16-17,13,8.2,0.15,95.34,214,1.8,0.5,0.2,0.2,0.6,4.38,0.1, 0.0,9.7,5.5,1.52,0.47,0.5,0.2,1.5,Mild
201158,16-17,74,24.0,0.187,98.06,3663,8.3,2.2,0.7,0.9,1.78,4.46,3.0, 1.2,30.5,24.4,2.31,1.6,0.8,0.1,1.1,Moderate
203077,16-17,81,29.0,0.144,96.25,4689,7.6,3.0,1.6,0.8,2.18,4.53,2.2, 0.0,31.9,18.6,2.08,1.35,1.0,0.6,3.2,Mild
203469,15-16,73,24.3,0.152,97.48,3595,6.0,1.3,0.6,0.3,1.81,4.49,0.2, 0.0,26.3,18.0,1.46,0.63,3.9,0.7,5.7,Mild
203087,15-16,66,18.6,0.214,97.72,2497,7.7,3.3,1.8,0.7,1.36,4.42,2.2, 0.8,27.1,19.6,2.98,2.22,0.5,0.1,1.4,Mild
202689,15-16,81,35.6,0.261,96.57,5814,16.4,11.0,4.5,4.0,2.48,4.19,7.9, 3.2,88.5,30.2,5.49,5.51,0.5,0.0,0.8,Mild
101107,15-16,81,28.9,0.166,96.24,4695,9.2,2.1,1.0,0.6,2.03,4.23,0.7, 0.1,56.6,28.3,1.26,0.36,1.3,0.9,2.3,Mild
201587,15-16,70,35.0,0.209,96.9,4948,12.5,5.3,1.6,2.3,2.53,4.36,4.7, 1.5,65.8,48.2,2.74,1.94,1.3,1.8,1.3,Moderate
202689,14-15,62,34.2,0.254,93.29,4121,15.8,13.3,5.6,4.7,2.41,4.24,7.3, 2.0,89.6,36.6,5.23,5.32,0.4,0.0,0.5,Mild
