PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1629002,21-22,60,21.3,0.184,101.5,2704,7.5,3.1,1.4,0.9,1.59,4.14,1.1, 0.3,33.6,18.2,1.78,0.74,0.6,0.6,2.1,Moderate
203087,21-22,56,16.7,0.189,100.62,1965,6.2,4.1,2.0,1.4,1.23,4.2,2.4, 1.0,29.8,17.4,2.89,1.88,0.1,0.0,0.6,Severe
1630218,21-22,12,3.5,0.158,102.39,90,1.3,0.4,0.3,0.2,0.27,4.16,0.4, 0.1,4.0,2.0,2.16,1.29,0.2,0.0,0.5,Moderate
1629056,21-22,30,17.9,0.244,102.84,1153,8.9,3.9,2.0,1.4,1.38,4.4,2.4, 2.0,25.7,15.0,2.66,2.3,0.2,0.0,0.7,Moderate
1629002,20-21,36,13.6,0.194,103.51,1063,5.0,1.2,0.6,0.4,1.01,4.18,0.9, 0.1,22.4,12.8,1.79,0.66,1.6,0.9,2.5,Moderate
1629610,20-21,31,15.9,0.114,104.76,1072,3.9,1.1,0.7,0.3,1.19,4.28,0.6, 0.3,16.5,10.0,1.73,0.86,0.4,0.0,0.7,Grave
202355,20-21,36,15.2,0.227,102.93,1166,6.2,0.3,0.1,0.0,1.08,3.96,0.3, 0.0,23.7,12.8,1.56,0.39,2.0,2.2,6.0,Severe
202355,20-21,36,15.2,0.227,102.93,1166,6.2,0.3,0.1,0.0,1.08,3.96,0.3, 0.0,23.7,12.8,1.56,0.39,2.0,2.2,6.0,Mild
1626158,20-21,61,29.2,0.173,100.46,3728,9.4,1.3,0.8,0.2,2.02,3.96,0.2, 0.0,41.8,26.0,1.65,0.54,5.9,0.8,7.9,Moderate
1630218,20-21,13,3.5,0.21,110.0,106,1.5,0.5,0.3,0.2,0.27,4.3,0.5, 0.2,4.6,2.5,2.51,1.57,0.1,0.1,0.3,Grave
1628368,19-20,51,32.0,0.29,102.19,3487,16.0,18.3,8.0,6.1,2.43,4.23,5.5, 2.0,80.6,25.8,5.26,4.89,0.4,0.1,0.9,Grave
203992,18-19,70,27.8,0.22,103.07,4184,12.3,8.0,3.6,3.2, 2.14, 4.31,4.6, 2.0,54.5,31.5,3.3,2.55,0.5,0.8,1.3,Grave
1628963,18-19,62,25.3,0.237,104.19,3405,11.4,1.8,1.1,0.2, 1.99, 4.39,1.4, 0.2,39.3,23.3,2.07,0.85,3.3,5.5,5.9,Grave
202066,17-18,65,24.8,0.16,96.56,3238,7.3,2.2,0.9,0.7,1.79,4.35,2.6, 0.9,38.2,25.1,2.99,2.3,0.4,0.0,0.8,Mild
202326,15-16,65,34.6,0.351,102.25,4772,20.5,9.3,4.8,1.7,2.11,3.66,2.1, 0.2,71.3,47.8,2.23,1.1,3.8,9.3,7.7,Moderate
200752,15-16,70,34.0,0.222,101.1,5006,14.4,5.4,3.0,1.2,2.38,4.21,3.5, 0.5,52.1,30.9,2.4,1.47,2.2,3.3,4.1,Mild
203552,15-16,44,15.7,0.172,101.31,1459,5.1,2.3,1.0,0.7,1.11,4.3,1.7, 0.7,23.6,10.8,4.42,4.4,0.4,0.0,0.2,Moderate
202326,14-15,59,34.1,0.334,97.22,4085,18.1,5.5,3.1,0.8,2.05,3.61,2.5, 0.0,68.8,46.6,2.46,1.12,4.2,12.4,7.8,Moderate
202326,14-15,59,34.1,0.334,97.22,4085,18.1,5.5,3.1,0.8,2.05,3.61,2.5, 0.0,68.8,46.6,2.46,1.12,4.2,12.4,7.8,Mild
