PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1628371,22-23,11,11.3,0.198,99.46,255,4.8,0.5,0.2,0.2,0.89,4.42,0.5, 0.0,19.5,10.0,1.69,0.7,0.7,0.7,2.4,Moderate
1630175,21-22,65,31.7,0.245,99.82,4283,14.0,11.3,4.4,4.9,2.43,4.32,5.5, 2.4,76.2,24.8,4.99,4.41,0.3,0.0,0.6,Moderate
1630175,21-22,65,31.7,0.245,99.82,4283,14.0,11.3,4.4,4.9,2.43,4.32,5.5, 2.4,76.2,24.8,4.99,4.41,0.3,0.0,0.6,Moderate
203914,21-22,61,28.4,0.16,100.66,3631,9.1,3.7,1.7,1.4,2.15,4.26,2.2, 0.9,29.2,22.3,2.55,1.78,0.3,0.0,0.8,Moderate
1630591,21-22,48,27.2,0.244,102.44,2785,11.4,9.0,3.7,3.3,2.08,4.32,3.5, 1.8,60.8,23.4,4.09,3.49,0.3,0.2,1.0,Moderate
1628365,21-22,18,20.0,0.265,103.01,774,9.7,10.5,4.7,4.3,1.58,4.52,4.5, 0.4,48.4,12.8,5.76,5.72,0.7,1.2,0.8,Mild
1628365,21-22,18,20.0,0.265,103.01,774,9.7,10.5,4.7,4.3,1.58,4.52,4.5, 0.4,48.4,12.8,5.76,5.72,0.7,1.2,0.8,Mild
1628365,21-22,18,20.0,0.265,103.01,774,9.7,10.5,4.7,4.3,1.58,4.52,4.5, 0.4,48.4,12.8,5.76,5.72,0.7,1.2,0.8,Mild
1630181,21-22,64,21.9,0.18,101.51,2972,7.1,6.7,2.7,3.1,1.68,4.3,1.3, 0.8,38.7,17.5,3.96,3.45,0.2,0.0,0.5,Grave
203082,21-22,63,23.0,0.196,101.14,3059,8.8,3.9,2.1,1.0,1.72,4.19,4.0, 1.4,28.8,20.7,2.71,1.79,0.3,0.0,0.3,Mild
1628976,21-22,62,29.9,0.206,100.39,3876,11.0,2.8,1.5,0.7,2.07,3.91,1.1, 0.1,60.6,36.5,1.75,0.5,4.7,1.5,6.3,Moderate
1628976,21-22,62,29.9,0.206,100.39,3876,11.0,2.8,1.5,0.7,2.07,3.91,1.1, 0.1,60.6,36.5,1.75,0.5,4.7,1.5,6.3,Mild
203932,20-21,50,27.7,0.204,99.48,2868,10.0,4.6,1.8,1.7,1.98,4.06,3.2, 1.3,48.3,25.8,3.62,2.83,1.3,2.3,3.8,Grave
203082,20-21,46,29.3,0.23,100.24,2818,13.4,4.1,2.7,0.8,2.24,4.28,7.1, 2.2,37.4,27.6,2.75,1.78,1.1,0.0,0.5,Mild
203082,20-21,46,29.3,0.23,100.24,2818,13.4,4.1,2.7,0.8,2.24,4.28,7.1, 2.2,37.4,27.6,2.75,1.78,1.1,0.0,0.5,Severe
201571,19-20,57,24.9,0.184,99.57,2961,8.1,9.3,3.0,5.2,1.83,4.12,3.6, 2.0,54.7,17.6,6.31,6.71,0.2,0.0,0.4,Grave
1628371,19-20,34,28.8,0.181,99.83,2040,9.8,2.9,1.6,0.6,2.2,4.33,2.2, 0.2,53.2,23.4,1.59,0.65,1.5,0.9,3.2,Moderate
1628371,19-20,34,28.8,0.181,99.83,2040,9.8,2.9,1.6,0.6,2.2,4.33,2.2, 0.2,53.2,23.4,1.59,0.65,1.5,0.9,3.2,Grave
1628964,19-20,62,14.2,0.163,99.81,1832,4.6,0.0,0.0,0.0,1.03,4.11,0.2, 0.0,19.8,11.2,1.52,0.39,1.0,0.3,3.6,Mild
203082,19-20,69,27.4,0.216,100.51,3969,12.3,2.0,1.3,0.5,2.05,4.22,4.1, 1.9,29.3,22.3,2.27,1.26,0.8,0.0,0.4,Moderate
203932,18-19,78,33.8,0.213,99.28,5456,13.4,6.1,2.7,2.1, 2.56, 4.28,3.4, 1.2,54.5,32.7,2.62,1.76,2.6,2.9,4.3,Mild
203932,18-19,78,33.8,0.213,99.28,5456,13.4,6.1,2.7,2.1, 2.56, 4.28,3.4, 1.2,54.5,32.7,2.62,1.76,2.6,2.9,4.3,Mild
201571,18-19,81,28.0,0.169,98.88,4683,8.4,10.2,3.3,5.8, 2.05, 4.17,3.0, 1.9,59.9,17.0,6.21,6.7,0.3,0.0,0.6,Mild
1628371,18-19,75,26.6,0.16,99.69,4131,8.1,1.8,0.9,0.5, 2.07, 4.43,1.2, 0.2,45.9,22.3,1.48,0.48,1.3,0.4,2.6,Severe
