PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1626174,22-23,61,26.7,0.261,97.1,3296,11.9,3.8,2.1,0.8,1.84,3.86,1.6, 0.7,47.4,26.8,2.27,1.04,2.2,2.1,4.3,Mild
1628373,22-23,44,11.8,0.124,100.66,1070,2.5,1.8,0.6,0.9,0.86,4.05,0.5, 0.2,15.9,7.3,3.07,2.52,0.1,0.0,0.2,Mild
201580,22-23,37,8.0,0.219,102.93,634,2.9,0.6,0.5,0.1,0.58,4.1,0.1, 0.0,11.5,6.2,1.5,0.47,1.0,0.4,3.1,Mild
202689,22-23,9,16.0,0.215,97.4,294,6.3,5.3,2.2,2.2,1.14,4.01,3.4, 2.3,28.7,12.2,5.47,5.37,0.0,0.0,0.0,Mild
1629029,22-23,59,36.4,0.372,97.57,4371,22.2,20.3,8.9,7.7,2.38,3.66,11.8, 6.9,90.7,34.2,6.21,5.39,0.7,4.7,1.1,Mild
1629029,22-23,59,36.4,0.372,97.57,4371,22.2,20.3,8.9,7.7,2.38,3.66,11.8, 6.9,90.7,34.2,6.21,5.39,0.7,4.7,1.1,Moderate
203501,22-23,65,30.2,0.201,97.34,3978,11.9,2.9,1.7,0.7,2.11,3.93,3.5, 1.8,45.1,24.0,2.3,1.52,0.4,0.0,0.5,Grave
202722,21-22,56,14.4,0.165,99.72,1681,4.9,0.9,0.2,0.5,1.12,4.35,0.5, 0.4,16.8,10.8,1.29,0.52,0.4,0.0,0.6,Moderate
1628373,21-22,58,11.8,0.165,99.2,1416,3.8,2.1,0.9,1.0,0.87,4.12,1.1, 0.4,20.1,11.3,3.15,2.38,0.1,0.0,0.2,Moderate
1628373,21-22,58,11.8,0.165,99.2,1416,3.8,2.1,0.9,1.0,0.87,4.12,1.1, 0.4,20.1,11.3,3.15,2.38,0.1,0.0,0.2,Mild
1628373,21-22,58,11.8,0.165,99.2,1416,3.8,2.1,0.9,1.0,0.87,4.12,1.1, 0.4,20.1,11.3,3.15,2.38,0.1,0.0,0.2,Moderate
1629029,21-22,65,35.4,0.368,96.18,4604,21.6,22.2,8.2,9.6,2.38,3.78,12.9, 7.6,90.5,34.8,6.19,5.37,0.5,3.7,1.0,Mild
1629029,21-22,65,35.4,0.368,96.18,4604,21.6,22.2,8.2,9.6,2.38,3.78,12.9, 7.6,90.5,34.8,6.19,5.37,0.5,3.7,1.0,Mild
1627737,21-22,34,10.2,0.205,99.91,722,3.9,0.4,0.2,0.1,0.77,4.24,0.1, 0.1,15.6,8.8,1.38,0.44,0.6,0.5,3.1,Grave
1628467,21-22,59,24.6,0.131,96.44,2916,6.0,1.2,0.3,0.7,1.72,3.93,0.5, 0.1,39.2,22.9,1.24,0.32,0.9,0.2,2.4,Moderate
203493,21-22,68,28.0,0.128,96.22,3821,7.4,0.8,0.4,0.2,2.04,4.1,0.9, 0.4,35.3,23.0,1.44,0.39,0.3,0.0,0.7,Mild
1628425,21-22,49,12.8,0.124,100.21,1313,3.2,1.5,0.6,0.7,0.98,4.3,0.5, 0.2,17.5,9.5,2.12,1.36,0.1,0.0,0.6,Mild
201949,20-21,51,20.5,0.166,102.54,2220,6.4,4.3,2.2,1.4,1.51,4.16,0.8, 0.4,27.3,16.2,2.47,1.88,1.0,0.1,1.2,Mild
204001,20-21,43,30.9,0.259,98.93,2729,15.9,2.3,1.3,0.5,2.08,3.91,2.9, 0.5,59.4,35.8,1.5,0.53,2.9,5.2,6.4,Severe
204001,20-21,43,30.9,0.259,98.93,2729,15.9,2.3,1.3,0.5,2.08,3.91,2.9, 0.5,59.4,35.8,1.5,0.53,2.9,5.2,6.4,Moderate
1628467,20-21,50,26.8,0.103,100.1,2799,5.5,0.7,0.3,0.2,1.85,3.96,0.5, 0.2,30.9,17.5,1.21,0.33,0.4,0.2,1.3,Mild
200826,19-20,29,15.5,0.245,99.7,931,7.1,6.1,3.2,2.1,1.15,4.17,3.5, 2.1,38.8,15.7,5.02,5.21,0.1,0.0,0.1,Mild
204001,19-20,57,31.8,0.263,101.54,3839,16.4,3.7,2.0,0.9,2.19,3.9,2.9, 0.6,60.0,35.4,1.58,0.5,2.5,3.4,4.5,Grave
204001,19-20,57,31.8,0.263,101.54,3839,16.4,3.7,2.0,0.9,2.19,3.9,2.9, 0.6,60.0,35.4,1.58,0.5,2.5,3.4,4.5,Mild
1629029,19-20,61,33.6,0.355,101.24,4328,20.6,20.7,8.8,8.0,2.38,4.0,9.0, 7.2,95.8,33.8,5.56,5.12,0.5,1.2,1.7,Severe
1629029,19-20,61,33.6,0.355,101.24,4328,20.6,20.7,8.8,8.0,2.38,4.0,9.0, 7.2,95.8,33.8,5.56,5.12,0.5,1.2,1.7,Severe
1629151,19-20,17,10.6,0.155,103.4,388,3.5,0.6,0.3,0.2,0.88,4.41,0.3, 0.2,14.9,8.1,1.4,0.49,0.2,0.0,0.4,Mild
203552,19-20,64,24.6,0.176,101.17,3342,9.0,4.2,2.1,1.7,1.76,4.06,3.2, 1.4,31.4,21.9,3.16,2.5,0.3,0.0,0.3,Grave
203552,19-20,64,24.6,0.176,101.17,3342,9.0,4.2,2.1,1.7,1.76,4.06,3.2, 1.4,31.4,21.9,3.16,2.5,0.3,0.0,0.3,Moderate
1628372,18-19,53,28.5,0.242,101.3,3191,12.3,12.0,4.6,5.6, 2.15, 4.24,4.6, 2.0,71.9,28.2,4.66,4.27,0.6,0.2,0.9,Mild
203939,18-19,77,21.6,0.167,100.94,3488,6.3,1.4,0.5,0.4, 1.65, 4.26,0.1, 0.0,35.8,21.0,1.51,0.47,2.4,0.3,6.0,Severe
200826,18-19,38,19.8,0.263,102.73,1612,10.1,10.4,4.8,3.9, 1.52, 4.25,4.9, 2.1,59.7,24.1,4.98,4.91,0.1,0.0,0.3,Mild
200826,18-19,38,19.8,0.263,102.73,1612,10.1,10.4,4.8,3.9, 1.52, 4.25,4.9, 2.1,59.7,24.1,4.98,4.91,0.1,0.0,0.3,Moderate
1628961,18-19,2,5.3,0.24,102.21,22,1.5,0.5,0.5,0.0, 0.38, 4.22,0.0, None,8.0,6.0,2.61,1.63,0.5,2.5,1.0,Mild
1629029,18-19,72,32.2,0.296,100.99,4891,16.5,14.7,5.7,6.4, 2.33, 4.06,7.8, 5.3,83.8,36.2,4.65,4.02,1.7,1.7,1.9,Mild
1628467,18-19,71,21.2,0.132,100.35,3131,5.4,1.2,0.5,0.4, 1.57, 4.14,0.5, 0.1,35.7,20.1,1.36,0.33,0.6,0.6,2.1,Mild
