PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1627742,22-23,36,33.2,0.306,98.98,2461,18.1,13.5,6.4,4.2,2.3,3.87,9.2, 1.0,65.0,38.3,4.01,3.03,2.0,1.7,0.9,Mild
1626204,22-23,56,21.4,0.121,101.01,2515,4.9,0.3,0.1,0.1,1.55,4.02,0.2, 0.0,30.1,18.9,1.8,0.73,2.9,0.5,4.5,Severe
1626204,22-23,56,21.4,0.121,101.01,2515,4.9,0.3,0.1,0.1,1.55,4.02,0.2, 0.0,30.1,18.9,1.8,0.73,2.9,0.5,4.5,Mild
1627742,21-22,55,34.0,0.291,98.07,3817,17.9,11.9,5.1,4.5,2.38,3.94,8.1, 0.9,64.4,41.3,3.95,2.87,1.9,1.4,1.2,Severe
1628984,21-22,76,28.4,0.191,98.66,4455,10.7,5.1,1.4,2.8,2.08,4.11,4.6, 2.8,61.0,27.2,4.17,3.47,0.2,0.0,0.3,Mild
1628984,21-22,76,28.4,0.191,98.66,4455,10.7,5.1,1.4,2.8,2.08,4.11,4.6, 2.8,61.0,27.2,4.17,3.47,0.2,0.0,0.3,Mild
202066,21-22,59,18.6,0.136,99.35,2267,5.0,1.8,0.6,0.9,1.4,4.19,1.0, 0.4,23.8,14.8,2.03,1.32,0.5,0.0,0.8,Moderate
1630529,21-22,78,29.9,0.136,98.84,4796,7.4,3.8,1.8,1.3,2.24,4.22,0.3, 0.1,36.8,21.4,2.3,1.26,0.8,0.1,1.9,Moderate
1628404,21-22,54,33.2,0.184,99.35,3699,10.5,6.7,2.9,2.8,2.45,4.14,2.4, 1.2,56.3,28.5,2.96,2.11,0.7,0.2,1.6,Moderate
1628404,21-22,54,33.2,0.184,99.35,3699,10.5,6.7,2.9,2.8,2.45,4.14,2.4, 1.2,56.3,28.5,2.96,2.11,0.7,0.2,1.6,Mild
1628404,21-22,54,33.2,0.184,99.35,3699,10.5,6.7,2.9,2.8,2.45,4.14,2.4, 1.2,56.3,28.5,2.96,2.11,0.7,0.2,1.6,Moderate
1630230,21-22,55,13.4,0.197,102.03,1557,4.9,2.6,1.3,0.7,1.05,4.36,0.7, 0.2,23.5,12.5,2.36,1.67,0.3,0.0,1.0,Mild
1627742,19-20,62,33.9,0.275,105.01,4609,17.7,12.7,5.8,4.3,2.55,4.23,5.8, 1.1,65.3,37.3,3.44,2.52,0.7,1.2,1.7,Mild
1627742,19-20,62,33.9,0.275,105.01,4609,17.7,12.7,5.8,4.3,2.55,4.23,5.8, 1.1,65.3,37.3,3.44,2.52,0.7,1.2,1.7,Severe
1627742,19-20,62,33.9,0.275,105.01,4609,17.7,12.7,5.8,4.3,2.55,4.23,5.8, 1.1,65.3,37.3,3.44,2.52,0.7,1.2,1.7,Severe
202324,19-20,51,24.4,0.135,104.39,2703,6.6,0.2,0.1,0.1,1.8,4.19,0.1, 0.0,45.1,24.7,1.34,0.28,3.8,1.0,7.3,Moderate
202324,19-20,51,24.4,0.135,104.39,2703,6.6,0.2,0.1,0.1,1.8,4.19,0.1, 0.0,45.1,24.7,1.34,0.28,3.8,1.0,7.3,Mild
