PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1630625,22-23,27,9.3,0.22,101.27,532,4.1,1.9,0.7,0.9,0.76,4.56,1.1, 0.4,20.8,9.6,3.81,2.89,0.1,0.0,0.7,Moderate
1630567,22-23,69,34.9,0.201,98.89,4962,13.3,6.6,3.4,2.1,2.66,4.25,2.9, 0.8,72.7,34.7,3.22,2.57,2.3,2.1,4.8,Mild
1628449,21-22,80,21.1,0.172,97.6,3440,7.2,0.6,0.3,0.1,1.59,4.2,0.5, 0.1,26.4,15.0,1.58,0.48,0.8,0.1,4.7,Mild
1628391,21-22,4,13.5,0.159,109.18,125,3.8,1.0,0.3,0.3,1.04,4.44,1.5, 0.3,24.5,10.3,1.82,0.73,1.0,0.3,1.8,Moderate
1630525,21-22,2,1.0,0.143,120.91,6,0.5,0.0,0.0,0.0,0.09,5.18,0.0, 0.0,1.5,0.5,4.48,3.0,0.0,0.0,0.0,Mild
1630525,21-22,2,1.0,0.143,120.91,6,0.5,0.0,0.0,0.0,0.09,5.18,0.0, 0.0,1.5,0.5,4.48,3.0,0.0,0.0,0.0,Mild
1627832,21-22,65,37.9,0.233,96.97,4986,16.9,13.0,3.6,7.5,2.82,4.18,8.8, 5.2,86.2,39.2,4.52,4.0,0.2,0.0,0.5,Severe
1627832,21-22,65,37.9,0.233,96.97,4986,16.9,13.0,3.6,7.5,2.82,4.18,8.8, 5.2,86.2,39.2,4.52,4.0,0.2,0.0,0.5,Mild
1627832,21-22,65,37.9,0.233,96.97,4986,16.9,13.0,3.6,7.5,2.82,4.18,8.8, 5.2,86.2,39.2,4.52,4.0,0.2,0.0,0.5,Severe
1627832,21-22,65,37.9,0.233,96.97,4986,16.9,13.0,3.6,7.5,2.82,4.18,8.8, 5.2,86.2,39.2,4.52,4.0,0.2,0.0,0.5,Moderate
1630567,21-22,74,35.4,0.187,97.03,5277,12.6,4.7,2.7,1.2,2.72,4.33,2.3, 0.4,66.7,32.6,2.9,2.17,2.2,1.7,5.5,Mild
1627783,20-21,56,35.8,0.261,99.5,4161,17.2,13.8,5.8,5.5,2.67,4.17,3.9, 1.1,72.7,37.6,3.44,2.61,2.2,3.9,3.4,Mild
1627775,20-21,5,6.7,0.026,94.21,67,0.2,0.2,0.0,0.2,0.53,4.43,0.0, None,8.0,4.6,1.64,0.85,0.0,0.0,0.2,Grave
1627775,20-21,5,6.7,0.026,94.21,67,0.2,0.2,0.0,0.2,0.53,4.43,0.0, None,8.0,4.6,1.64,0.85,0.0,0.0,0.2,Grave
1629139,20-21,50,14.5,0.121,101.77,1533,3.6,1.6,0.6,0.8,1.21,4.68,0.6, 0.1,19.1,10.8,1.67,0.98,0.5,0.0,1.0,Severe
1629608,19-20,6,4.7,0.257,108.8,64,2.3,0.7,0.5,0.2,0.38,4.43,0.0, 0.0,8.0,5.0,2.26,0.98,0.3,0.2,1.3,Grave
1629608,19-20,6,4.7,0.257,108.8,64,2.3,0.7,0.5,0.2,0.38,4.43,0.0, 0.0,8.0,5.0,2.26,0.98,0.3,0.2,1.3,Grave
200768,19-20,58,36.2,0.225,102.29,4475,13.8,9.6,3.2,4.6,2.47,3.81,5.8, 4.2,83.2,35.6,4.09,3.37,0.4,0.1,0.7,Mild
1629052,19-20,19,7.1,0.145,100.75,284,1.9,0.6,0.4,0.2,0.54,4.19,0.1, 0.0,9.6,5.5,1.72,0.62,0.2,0.0,1.0,Moderate
1626178,19-20,60,18.7,0.164,101.96,2373,5.5,2.4,0.8,1.0,1.5,4.4,0.5, 0.0,34.4,17.2,2.09,1.17,1.7,1.8,4.6,Severe
201586,19-20,55,27.0,0.236,102.04,3154,12.2,1.4,0.8,0.5,1.86,3.88,0.7, 0.0,45.0,28.7,1.5,0.37,4.4,1.6,6.2,Moderate
201586,19-20,55,27.0,0.236,102.04,3154,12.2,1.4,0.8,0.5,1.86,3.88,0.7, 0.0,45.0,28.7,1.5,0.37,4.4,1.6,6.2,Grave
1627832,18-19,64,27.5,0.177,99.87,3663,9.4,8.7,2.5,5.1, 2.14, 4.36,3.3, 1.7,56.1,26.8,4.41,4.2,0.2,0.0,0.5,Mild
202695,18-19,60,34.0,0.3,100.31,4272,18.8,13.6,6.0,5.1, 2.56, 4.23,8.7, 2.4,57.2,38.1,4.24,3.64,1.1,4.0,2.6,Mild
202695,18-19,60,34.0,0.3,100.31,4272,18.8,13.6,6.0,5.1, 2.56, 4.23,8.7, 2.4,57.2,38.1,4.24,3.64,1.1,4.0,2.6,Severe
202695,18-19,60,34.0,0.3,100.31,4272,18.8,13.6,6.0,5.1, 2.56, 4.23,8.7, 2.4,57.2,38.1,4.24,3.64,1.1,4.0,2.6,Mild
200768,18-19,65,34.1,0.191,101.37,4690,11.4,7.8,2.1,4.5, 2.4, 3.95,4.3, 2.6,80.6,33.8,3.82,3.2,0.6,0.1,1.4,Mild
200768,18-19,65,34.1,0.191,101.37,4690,11.4,7.8,2.1,4.5, 2.4, 3.95,4.3, 2.6,80.6,33.8,3.82,3.2,0.6,0.1,1.4,Severe
200768,18-19,65,34.1,0.191,101.37,4690,11.4,7.8,2.1,4.5, 2.4, 3.95,4.3, 2.6,80.6,33.8,3.82,3.2,0.6,0.1,1.4,Moderate
200768,18-19,65,34.1,0.191,101.37,4690,11.4,7.8,2.1,4.5, 2.4, 3.95,4.3, 2.6,80.6,33.8,3.82,3.2,0.6,0.1,1.4,Moderate
201586,18-19,74,27.2,0.227,100.39,4204,11.9,1.5,0.9,0.4, 1.93, 4.0,0.9, 0.1,47.1,28.2,1.63,0.44,3.9,2.0,5.7,Mild
202685,17-18,77,22.4,0.222,99.04,3576,8.9,1.1,0.7,0.1,1.59,4.28,0.3, 0.0,47.5,25.5,1.76,0.58,3.5,2.8,6.7,Severe
1626181,17-18,70,15.2,0.185,99.41,2210,5.3,4.1,1.5,1.6,1.14,4.56,0.9, 0.5,21.0,14.6,2.71,2.22,0.2,0.0,0.3,Mild
201586,17-18,76,27.5,0.189,99.68,4353,10.3,3.3,1.6,0.8,1.92,4.22,1.4, 0.1,42.1,25.5,1.62,0.46,1.3,1.1,2.5,Mild
201942,16-17,74,35.4,0.337,96.43,5270,20.9,15.3,7.4,4.2,2.4,4.06,10.3, 0.5,64.4,41.6,4.82,4.05,1.2,2.0,1.0,Moderate
201960,16-17,72,26.1,0.154,95.62,3752,7.6,2.1,0.9,0.6,1.81,4.16,1.0, 0.3,30.4,19.3,1.82,0.94,0.3,0.1,1.5,Moderate
201960,16-17,72,26.1,0.154,95.62,3752,7.6,2.1,0.9,0.6,1.81,4.16,1.0, 0.3,30.4,19.3,1.82,0.94,0.3,0.1,1.5,Moderate
201960,16-17,72,26.1,0.154,95.62,3752,7.6,2.1,0.9,0.6,1.81,4.16,1.0, 0.3,30.4,19.3,1.82,0.94,0.3,0.1,1.5,Mild
200782,16-17,81,27.6,0.111,99.05,4610,6.0,1.6,0.9,0.4,1.86,4.05,0.5, 0.1,38.1,23.2,1.67,0.7,0.7,0.7,2.4,Mild
202335,16-17,65,24.6,0.123,96.48,3219,5.9,1.7,0.8,0.5,1.66,4.06,0.3, 0.1,37.9,21.1,1.26,0.33,0.4,0.1,1.2,Mild
201949,15-16,57,16.2,0.157,94.24,1823,4.2,3.1,1.4,0.8,1.12,4.18,0.4, 0.1,19.1,14.7,2.37,1.61,0.3,0.5,0.9,Grave
201949,15-16,57,16.2,0.157,94.24,1823,4.2,3.1,1.4,0.8,1.12,4.18,0.4, 0.1,19.1,14.7,2.37,1.61,0.3,0.5,0.9,Moderate
202335,15-16,79,25.6,0.127,93.61,3957,6.2,2.0,1.2,0.5,1.68,3.98,0.7, 0.1,42.7,25.3,1.35,0.42,1.0,0.1,1.2,Moderate
201949,14-15,70,19.6,0.17,94.62,2688,5.8,3.9,1.9,1.1,1.35,4.15,0.6, 0.1,24.0,15.8,2.51,1.84,0.7,1.1,1.7,Mild
202335,14-15,81,26.6,0.127,94.82,4266,6.6,1.6,0.7,0.5,1.8,4.06,0.9, 0.0,45.0,23.0,1.35,0.39,1.0,0.2,2.3,Mild
200768,13-14,79,36.2,0.222,94.23,5625,13.7,10.4,3.8,3.6,2.41,3.99,5.7, 3.1,89.7,36.9,5.0,4.91,0.6,0.1,1.6,Moderate
203082,13-14,81,26.7,0.183,93.91,4225,9.3,3.0,1.6,0.7,1.94,4.37,2.3, 0.6,29.1,22.1,2.29,1.56,0.4,0.0,0.9,Moderate
