PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1630170,22-23,37,31.1,0.241,103.48,2483,15.8,9.0,3.4,4.5,2.49,4.46,7.0, 2.0,53.4,32.9,3.44,2.53,0.5,0.0,0.6,Grave
1630170,22-23,37,31.1,0.241,103.48,2483,15.8,9.0,3.4,4.5,2.49,4.46,7.0, 2.0,53.4,32.9,3.44,2.53,0.5,0.0,0.6,Mild
203926,22-23,61,20.6,0.182,104.35,2754,8.0,2.7,1.4,0.9,1.68,4.54,1.6, 0.7,28.2,20.4,1.66,0.79,0.3,0.0,0.9,Mild
1629676,22-23,42,11.3,0.173,104.03,1025,3.7,1.7,0.9,0.5,0.9,4.45,0.6, 0.3,18.8,10.3,1.99,0.99,0.5,0.2,0.9,Grave
1627751,22-23,64,26.8,0.182,100.82,3596,8.7,1.6,0.9,0.5,2.08,4.36,0.5, 0.0,53.8,31.1,1.65,0.51,6.8,1.9,8.4,Mild
1631110,22-23,56,26.0,0.195,102.37,3101,9.9,6.6,2.9,2.6,2.06,4.45,1.4, 0.3,44.3,21.9,2.92,2.24,1.2,1.1,3.4,Mild
1626196,22-23,56,24.0,0.188,103.14,2885,9.1,5.2,2.1,2.4,1.87,4.33,3.2, 0.6,43.5,21.8,3.37,2.64,0.3,0.0,0.8,Moderate
1631103,22-23,58,23.1,0.18,103.93,2900,8.6,4.5,2.4,1.5,1.82,4.42,2.8, 0.7,35.2,15.0,3.66,3.25,0.3,0.0,0.4,Mild
1628380,22-23,59,22.5,0.205,103.74,2863,8.3,1.0,0.7,0.2,1.64,4.05,0.3, 0.1,37.5,25.7,1.81,0.63,4.1,2.9,5.1,Moderate
203926,21-22,51,24.0,0.178,102.53,2617,9.1,3.4,2.1,1.0,1.98,4.65,1.5, 0.9,29.8,22.3,1.67,0.78,0.4,0.0,0.8,Mild
1627751,21-22,68,29.0,0.182,100.62,4119,9.8,1.0,0.5,0.3,2.25,4.37,0.4, 0.0,58.0,32.6,1.55,0.41,6.2,2.2,9.8,Mild
1627751,21-22,68,29.0,0.182,100.62,4119,9.8,1.0,0.5,0.3,2.25,4.37,0.4, 0.0,58.0,32.6,1.55,0.41,6.2,2.2,9.8,Mild
1627751,21-22,68,29.0,0.182,100.62,4119,9.8,1.0,0.5,0.3,2.25,4.37,0.4, 0.0,58.0,32.6,1.55,0.41,6.2,2.2,9.8,Mild
1628966,21-22,59,16.2,0.144,102.27,2032,4.5,1.3,0.7,0.3,1.28,4.42,0.3, 0.1,18.5,10.6,1.71,0.7,0.6,0.2,2.3,Severe
1628966,21-22,59,16.2,0.144,102.27,2032,4.5,1.3,0.7,0.3,1.28,4.42,0.3, 0.1,18.5,10.6,1.71,0.7,0.6,0.2,2.3,Moderate
1628966,21-22,59,16.2,0.144,102.27,2032,4.5,1.3,0.7,0.3,1.28,4.42,0.3, 0.1,18.5,10.6,1.71,0.7,0.6,0.2,2.3,Mild
