PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1630688,22-23,53,15.3,0.117,101.71,1712,3.8,1.0,0.3,0.5,1.19,4.28,0.3, 0.2,15.8,10.2,1.49,0.69,0.0,0.0,0.7,Grave
1629661,21-22,66,26.2,0.167,102.22,3680,9.2,3.0,1.2,1.2,1.95,4.25,1.1, 0.4,33.3,20.0,1.71,1.01,0.7,0.0,0.9,Moderate
1626166,21-22,58,22.0,0.235,102.83,2725,10.1,9.7,5.2,3.0,1.66,4.2,3.4, 1.7,52.0,17.8,5.28,4.47,0.2,0.0,0.4,Moderate
1629028,21-22,58,29.5,0.217,100.62,3590,12.0,0.5,0.3,0.1,2.02,3.94,0.5, 0.0,42.6,23.7,1.54,0.41,4.8,2.8,10.9,Grave
1626164,21-22,68,34.5,0.313,101.21,4943,20.9,9.7,5.0,3.1,2.47,4.09,11.8, 3.8,56.2,33.0,4.48,3.65,1.5,0.7,1.6,Mild
201580,21-22,74,15.8,0.214,102.0,2479,6.2,0.7,0.5,0.1,1.11,4.01,0.4, 0.0,25.2,13.0,1.46,0.48,2.5,0.9,6.2,Moderate
1629013,21-22,69,20.8,0.16,101.89,3045,7.0,2.6,1.0,1.2,1.65,4.51,1.8, 0.9,25.2,16.5,2.13,1.65,0.2,0.0,0.3,Grave
1627846,20-21,24,14.8,0.183,102.96,757,4.8,3.5,1.6,1.1,1.14,4.41,0.3, 0.1,16.2,10.9,1.91,1.19,0.0,0.0,0.7,Moderate
1627846,20-21,24,14.8,0.183,102.96,757,4.8,3.5,1.6,1.1,1.14,4.41,0.3, 0.1,16.2,10.9,1.91,1.19,0.0,0.0,0.7,Mild
1626166,20-21,60,18.0,0.193,99.23,2233,6.6,6.3,3.0,2.6,1.36,4.28,2.1, 1.1,45.2,17.0,4.75,4.03,0.1,0.0,0.3,Severe
203967,20-21,50,17.4,0.218,101.27,1840,6.8,1.3,0.6,0.3,1.27,4.11,0.3, 0.1,32.7,21.3,1.68,0.7,2.7,2.3,4.0,Severe
203967,20-21,50,17.4,0.218,101.27,1840,6.8,1.3,0.6,0.3,1.27,4.11,0.3, 0.1,32.7,21.3,1.68,0.7,2.7,2.3,4.0,Mild
1629028,20-21,69,30.6,0.179,98.05,4320,10.0,0.2,0.1,0.0,2.11,3.93,0.5, 0.0,46.2,26.8,1.67,0.44,3.7,4.7,11.7,Severe
203109,20-21,60,27.5,0.152,100.0,3434,8.2,1.0,0.4,0.4,2.02,4.17,1.2, 0.8,46.0,23.4,1.32,0.47,0.5,0.2,0.8,Grave
1630188,20-21,27,5.8,0.161,103.72,336,1.9,0.1,0.1,0.0,0.46,4.46,0.0, 0.0,7.4,3.8,1.62,0.51,0.3,0.4,1.0,Moderate
