PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1629647,22-23,40,14.5,0.16,101.87,1223,4.2,2.1,0.9,0.5,1.11,4.32,0.3, 0.0,22.6,10.8,2.01,1.15,0.8,0.2,1.9,Severe
1630526,22-23,38,19.2,0.144,103.77,1577,5.8,0.9,0.2,0.4,1.54,4.53,0.1, 0.1,28.7,15.9,1.18,0.4,0.7,0.0,3.1,Grave
1630598,21-22,50,24.2,0.149,101.6,2546,6.7,4.1,1.7,1.6,1.93,4.59,0.4, 0.2,25.1,17.5,2.12,1.47,0.3,0.0,1.6,Moderate
202324,21-22,39,16.7,0.131,99.83,1360,4.7,0.0,0.0,0.0,1.17,4.07,0.1, 0.0,25.1,17.3,1.13,0.16,2.7,0.2,4.2,Moderate
202324,21-22,39,16.7,0.131,99.83,1360,4.7,0.0,0.0,0.0,1.17,4.07,0.1, 0.0,25.1,17.3,1.13,0.16,2.7,0.2,4.2,Mild
202324,21-22,39,16.7,0.131,99.83,1360,4.7,0.0,0.0,0.0,1.17,4.07,0.1, 0.0,25.1,17.3,1.13,0.16,2.7,0.2,4.2,Moderate
1629676,21-22,45,21.1,0.185,102.08,2014,7.2,2.4,1.1,0.7,1.53,4.23,0.5, 0.3,38.2,23.1,1.64,0.68,1.9,0.3,4.2,Mild
1629676,21-22,45,21.1,0.185,102.08,2014,7.2,2.4,1.1,0.7,1.53,4.23,0.5, 0.3,38.2,23.1,1.64,0.68,1.9,0.3,4.2,Severe
1629026,21-22,49,21.9,0.153,99.24,2211,6.5,4.1,1.3,2.2,1.67,4.26,1.5, 0.5,32.1,21.7,2.2,1.58,0.6,0.3,2.9,Moderate
1629026,21-22,49,21.9,0.153,99.24,2211,6.5,4.1,1.3,2.2,1.67,4.26,1.5, 0.5,32.1,21.7,2.2,1.58,0.6,0.3,2.9,Moderate
