PLAYER_ID,SEASON,GP,MIN,USG_PCT,PACE,POSS,FGA_PG,DRIVES,DRIVE_FGA,DRIVE_PASSES,DIST_MILES,AVG_SPEED,PULL_UP_FGA,PULL_UP_FG3A,TOUCHES,FRONT_CT_TOUCHES,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,INJURY_SEVERITY
1630164,22-23,37,18.4,0.209,101.96,1443,7.2,0.5,0.3,0.0,1.39,4.26,0.5, 0.0,31.2,14.5,1.45,0.35,1.8,1.6,5.6,Grave
1630228,22-23,60,20.6,0.198,103.28,2654,7.5,3.6,1.7,1.3,1.62,4.39,0.9, 0.3,34.1,19.7,2.42,1.48,1.2,1.3,2.2,Moderate
201939,22-23,49,34.8,0.296,104.93,3740,20.0,9.0,4.5,3.3,2.63,4.21,8.8, 6.0,79.4,31.0,4.42,4.2,0.8,0.0,1.5,Grave
2738,21-22,31,19.4,0.113,99.57,1253,3.9,0.8,0.2,0.5,1.38,3.99,0.5, 0.4,37.1,19.7,2.89,1.74,0.9,0.4,2.1,Mild
2738,21-22,31,19.4,0.113,99.57,1253,3.9,0.8,0.2,0.5,1.38,3.99,0.5, 0.4,37.1,19.7,2.89,1.74,0.9,0.4,2.1,Moderate
2738,21-22,31,19.4,0.113,99.57,1253,3.9,0.8,0.2,0.5,1.38,3.99,0.5, 0.4,37.1,19.7,2.89,1.74,0.9,0.4,2.1,Grave
203952,21-22,73,31.9,0.224,99.79,4836,14.0,6.9,3.0,2.7,2.3,4.06,3.9, 1.0,46.9,30.9,2.96,2.15,0.6,1.7,2.7,Mild
1627780,21-22,71,17.6,0.14,100.35,2591,4.8,0.4,0.1,0.2,1.42,4.5,0.1, 0.0,22.7,13.2,1.65,0.78,0.7,0.3,3.0,Grave
1629308,21-22,73,13.6,0.144,99.03,2045,3.2,2.1,0.7,1.0,1.06,4.34,0.2, 0.2,28.8,15.7,2.34,1.55,0.5,0.3,1.3,Mild
202691,21-22,32,29.4,0.284,101.53,1990,17.9,5.8,2.7,2.4,2.21,4.26,7.3, 2.6,44.2,33.8,2.33,1.54,0.7,0.9,1.3,Mild
