Team,Total_Players,22-23,21-22,20-21,19-20,18-19,17-18,16-17,15-16,14-15,13-14,Total_Injuries,Sprained_ankle,Sore_knee,Knee_injury,Sore_lower_back,Sore_ankle
Knicks,1375,449,465,424,415,421,460,436,433,461,470,4434,4397,25,1,8,3
Nuggets,15,1,5,4,4,2,3,8,1,1,0,29,15,6,1,4,3
Pacers,21,3,9,14,11,4,6,3,4,1,0,55,31,13,0,8,3
Blazers,21,4,6,1,5,6,3,3,1,2,1,32,23,3,4,2,0
Nets,24,5,8,11,5,6,2,3,0,0,1,41,16,13,6,2,4
Pistons,25,2,4,15,9,8,1,3,2,0,0,44,17,17,6,0,4
Pelicans,18,3,9,0,10,9,2,1,0,1,0,35,24,6,1,3,1
Heat,19,5,12,7,6,2,5,3,2,1,0,43,25,12,3,1,2
Cavaliers,28,2,13,7,7,9,6,1,2,1,2,50,24,12,2,10,2
Mavericks,23,7,10,4,8,8,5,1,1,2,0,46,23,11,7,0,5
Lakers,18,4,8,4,5,4,4,3,5,0,0,37,20,14,1,0,2
Raptors,23,2,9,4,7,9,3,6,3,2,2,47,17,15,6,6,3
Thunder,26,2,13,6,8,5,5,2,0,2,0,43,28,6,1,5,3
Hawks,22,1,7,14,5,7,5,3,1,1,0,44,25,11,1,4,3
Wizards,14,5,4,5,3,3,1,1,0,0,0,22,9,9,0,4,0
Hornets,21,2,7,6,4,2,3,3,5,1,0,33,20,6,1,2,4
Spurs,18,9,12,4,0,3,4,2,1,2,0,37,12,13,1,9,2
76ers,17,2,6,12,8,7,2,7,2,1,0,47,15,25,3,0,4
Bucks,19,3,12,8,5,9,7,0,1,0,0,45,18,19,2,1,5
Suns,25,1,6,8,8,5,6,1,2,5,0,42,26,10,0,3,3
Grizzlies,19,2,13,10,5,6,3,2,0,1,1,43,10,18,6,1,8
Warriors,23,3,9,4,8,5,10,1,3,1,0,44,25,14,0,0,5
Bulls,12,2,5,2,1,3,2,5,3,7,0,30,14,8,3,1,4
Timberwolves,16,2,7,1,1,9,2,2,0,0,0,24,15,6,1,0,2
Clippers,17,4,7,2,2,5,2,2,2,1,0,27,13,6,2,1,5
Magic,18,1,11,3,5,4,3,2,0,6,4,39,22,4,7,2,4
Jazz,22,2,8,6,9,6,6,7,4,1,1,50,18,22,1,5,4
Rockets,17,1,4,12,5,6,3,1,2,2,1,37,19,9,4,4,1
Celtics,18,1,9,15,13,14,2,2,2,1,0,59,23,16,13,4,3
Kings,14,0,4,6,1,2,1,0,3,2,0,19,8,4,2,2,3
